,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Loren Morón,es ESP,16.0,"FW,RW",25-244,90,1,0,0,0,4,1,0,0,33,1,0,2,0.8,0.8,0.0,1,0,10,15,66.7,3,21,1,3,1,10,15,66.7,144,57,7,10,70.0,1,3,33.3,1,1,100.0,0,0.0,0.0,0,1,0,0,3,15,14,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,1,2,50.0,1,2,1,1,0,1,2,0,33,2,4,14,15,4,33,3,1,33.3,2,66.7,21,109,25,1,1,0,3,5,24,4,0,0,0,2,2,2,0,0,0,0,0,0,1,3,0,100.0
1,Joaquín,es ESP,17.0,FW,38-041,71,0,0,0,0,1,0,0,0,45,1,1,0,0.1,0.1,0.4,5,2,31,42,73.8,7,29,2,3,3,31,42,73.8,457,163,17,22,77.3,8,8,100.0,4,6,66.7,0,0.4,0.4,2,2,4,0,7,42,35,6,0,0,0,5,1,5,1,1,0,31,1,3,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,45,0,0,14,31,3,45,3,3,100.0,0,0.0,29,111,66,2,4,1,0,0,35,2,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,
2,Borja Iglesias,es ESP,9.0,"FW,RW",26-226,19,0,0,0,0,2,0,0,0,8,0,0,0,0.1,0.1,0.0,2,0,5,6,83.3,0,7,0,0,0,5,6,83.3,51,12,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,4,4,1,8,0,0,,0,,7,23,10,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
3,Nabil Fekir,fr FRA,8.0,AM,26-044,90,1,0,0,0,2,1,1,0,53,0,0,1,0.4,0.4,0.2,5,0,32,43,74.4,3,42,5,5,4,32,43,74.4,389,119,21,26,80.8,5,5,100.0,1,2,50.0,0,0.2,0.2,4,6,2,1,3,43,40,3,1,0,0,3,0,1,0,0,0,32,0,5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,53,0,1,24,30,5,53,5,4,80.0,1,20.0,42,271,175,5,6,0,2,1,47,11,1,0,0,2,5,0,3,0,0,0,0,0,4,1,3,25.0
4,Andrés Guardado,mx MEX,18.0,"LM,DM,LW",32-337,90,0,0,0,0,1,1,0,0,74,3,1,1,0.1,0.1,0.3,7,0,48,59,81.4,6,46,8,2,2,48,59,81.4,873,255,23,26,88.5,15,18,83.3,7,8,87.5,0,0.3,0.3,4,6,3,0,6,59,53,6,2,0,1,1,3,1,1,0,0,48,0,1,3,1,2,0,1,2,3,66.7,1,1,0,1,1,4,2,0,74,1,12,37,27,5,74,2,2,100.0,0,0.0,46,251,156,8,3,4,4,3,47,5,0,0,0,0,2,0,1,1,1,0,0,0,7,0,1,0.0
5,William Carvalho,pt POR,14.0,"CM,DM",27-146,90,0,0,0,0,0,0,1,0,66,0,1,1,0.0,0.0,0.0,1,0,54,58,93.1,7,33,1,1,0,54,58,93.1,1038,338,17,19,89.5,28,29,96.6,6,6,100.0,0,0.0,0.0,1,4,1,0,7,58,56,1,1,0,1,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,2,1,66,4,14,42,10,1,66,1,0,0.0,1,100.0,33,86,49,1,0,0,1,0,55,0,1,0,0,2,0,0,0,1,0,0,0,0,4,4,0,100.0
6,Sergio Canales,es ESP,10.0,"RM,LW",28-196,83,0,1,0,0,0,0,1,0,58,0,0,0,0.0,0.0,0.5,2,1,44,56,78.6,4,33,7,0,0,44,56,78.6,738,153,22,26,84.6,16,18,88.9,5,9,55.6,1,0.5,0.3,2,0,2,1,4,56,48,8,4,0,0,8,0,4,3,0,0,44,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,58,1,7,24,27,1,58,0,0,,0,,33,221,139,7,4,0,2,0,42,3,1,0,0,2,0,0,8,0,0,0,0,0,4,0,0,
7,Javi García,es ESP,3.0,DM,32-204,7,0,0,0,0,1,0,0,0,7,0,1,0,0.1,0.1,0.0,0,0,2,3,66.7,1,2,0,0,0,2,3,66.7,24,15,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,7,1,2,4,1,1,7,0,0,,0,,2,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
8,Alfonso Pedraza,es ESP,6.0,LB,23-144,90,0,0,0,0,2,1,0,0,67,0,1,1,0.1,0.1,0.0,3,0,38,52,73.1,2,26,3,1,1,38,52,73.1,513,231,21,24,87.5,15,16,93.8,1,7,14.3,0,0.0,0.0,0,3,0,0,2,52,39,12,0,0,0,1,12,0,0,0,0,38,1,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,5,0,67,5,22,26,19,3,67,1,1,100.0,0,0.0,26,285,129,3,3,0,2,1,34,3,0,0,0,1,2,0,1,1,0,0,0,0,5,0,1,0.0
9,Sidnei,br BRA,12.0,CB,30-008,64,0,0,0,0,1,0,0,0,76,3,0,0,0.1,0.1,0.0,1,0,61,65,93.8,2,42,0,1,0,61,65,93.8,1308,312,13,13,100.0,30,31,96.8,13,16,81.3,0,0.0,0.0,0,1,0,0,2,65,61,4,4,1,2,0,0,0,0,0,0,61,0,0,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,1,0,76,8,33,42,1,1,76,1,0,0.0,1,100.0,42,172,72,0,0,0,1,0,46,0,0,0,0,1,0,0,0,0,2,0,0,0,8,5,0,100.0
10,Marc Bartra,es ESP,5.0,CB,28-228,26,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,0,4,0,0,0,8,10,80.0,156,52,3,3,100.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,5,0,16,5,12,4,0,0,16,0,0,,0,,4,22,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,50.0
11,Aïssa Mandi,dz ALG,23.0,CB,27-313,90,0,0,0,0,2,0,1,0,66,0,1,0,0.4,0.4,0.0,1,0,54,59,91.5,1,40,0,0,0,54,59,91.5,1002,327,21,22,95.5,25,25,100.0,7,11,63.6,0,0.0,0.0,0,2,0,0,1,59,56,3,2,0,1,0,1,0,0,0,0,54,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,66,4,26,38,2,2,66,0,0,,0,,40,219,171,0,0,0,0,0,51,0,1,0,0,2,0,1,0,1,0,0,0,0,4,3,0,100.0
12,Emerson,br BRA,22.0,RB,20-229,90,0,1,0,0,1,1,0,0,59,0,0,0,0.0,0.0,0.7,2,1,38,52,73.1,2,30,0,0,0,38,52,73.1,521,151,23,27,85.2,8,11,72.7,3,5,60.0,1,0.7,0.6,1,0,1,0,2,52,44,8,0,0,1,1,8,0,0,0,0,38,0,3,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,3,0,59,2,13,21,25,2,59,0,0,,0,,30,71,31,0,0,0,1,0,38,9,0,0,0,2,3,0,1,0,0,0,0,0,3,1,2,33.3
