,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jeff Reine-Adélaïde,fr FRA,22.0,"FW,CM,RM",21-092,90,0,0,0,0,1,1,0,0,46,1,1,0,0.0,0.0,0.1,4,0,37,40,92.5,7,30,4,2,2,37,40,92.5,613,161,15,15,100.0,15,15,100.0,4,5,80.0,0,0.1,0.0,1,4,1,0,7,40,37,3,0,0,0,1,0,0,0,0,0,37,0,2,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,46,0,7,30,11,0,46,2,2,100.0,0,0.0,30,299,136,4,2,0,3,2,38,3,0,0,0,0,2,1,1,1,1,0,0,0,2,0,0,
1,Flavien Tait,fr FRA,20.0,LM,26-076,90,0,0,0,0,1,0,0,0,68,5,1,1,0.0,0.0,0.1,3,0,40,52,76.9,4,32,6,5,3,40,52,76.9,578,247,26,28,92.9,7,10,70.0,4,7,57.1,0,0.1,0.2,3,1,0,0,4,52,45,7,2,0,0,6,1,4,0,4,0,40,0,2,5,2,3,2,0,1,3,33.3,2,1,0,1,1,6,1,0,68,2,12,34,25,1,68,5,3,60.0,2,40.0,32,296,211,6,6,2,4,2,46,9,0,0,0,1,3,0,6,1,2,0,0,0,9,1,1,50.0
2,Thomas Mangani,fr FRA,5.0,CM,31-355,63,0,0,0,0,0,0,1,0,50,2,0,0,0.0,0.0,0.0,0,0,37,43,86.0,6,20,1,0,0,37,43,86.0,549,153,22,24,91.7,9,10,90.0,3,5,60.0,0,0.0,0.0,0,3,0,0,6,43,39,4,3,0,0,3,0,1,1,0,0,37,0,1,2,2,0,2,0,0,4,0.0,4,0,0,0,0,2,2,0,50,3,10,32,9,0,50,0,0,,0,,20,149,94,1,1,0,2,0,33,0,1,0,0,0,0,0,3,0,2,0,0,0,6,0,0,
3,Angelo Fulgini,fr FRA,10.0,RM,22-242,27,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.3,5,0,12,16,75.0,2,13,4,2,2,12,16,75.0,171,94,5,7,71.4,4,4,100.0,1,2,50.0,0,0.3,0.2,3,3,1,0,2,16,13,3,0,0,0,2,1,2,0,2,0,12,0,0,2,2,0,1,1,2,4,50.0,2,0,0,0,0,2,0,0,19,0,0,9,11,5,19,2,2,100.0,0,0.0,13,104,90,4,1,3,1,1,12,3,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,100.0
4,Vincent Pajot,fr FRA,6.0,CM,28-243,75,0,0,0,0,1,0,0,0,34,3,2,1,0.0,0.0,0.0,1,0,23,28,82.1,3,13,0,0,0,23,28,82.1,325,43,13,14,92.9,9,9,100.0,0,0,,0,0.0,0.0,1,2,0,0,3,28,26,1,1,0,0,0,0,0,0,0,0,23,1,2,3,3,1,2,0,0,5,0.0,5,1,0,1,2,5,0,0,34,0,2,24,8,1,34,0,0,,0,,13,70,23,0,0,0,1,0,26,1,0,0,0,1,1,0,0,2,3,0,0,0,2,5,1,83.3
5,Farid El Melali,dz ALG,28.0,CM,21-349,15,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,3,1,2,2,100.0,27,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,1,3,4,1,8,3,1,33.3,2,66.7,4,61,9,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
6,Pierrick Capelle,fr FRA,15.0,RM,32-004,52,0,0,0,0,1,0,0,0,26,1,1,0,0.0,0.0,0.0,1,0,12,17,70.6,2,16,1,2,1,12,17,70.6,170,30,5,7,71.4,6,7,85.7,0,1,0.0,0,0.0,0.0,0,0,0,0,2,17,17,0,0,0,0,0,0,0,0,0,0,12,0,1,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,26,2,7,13,6,0,26,2,1,50.0,1,50.0,16,104,25,1,2,0,1,1,19,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,50.0
7,Wilfried Kanga,ci CIV,11.0,FW,21-057,38,0,0,0,0,2,0,1,0,7,0,0,0,0.3,0.3,0.0,2,0,3,4,75.0,1,6,0,0,0,3,4,75.0,34,9,3,4,75.0,0,0,,0,0,,0,0.0,0.0,1,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,2,5,3,7,0,0,,0,,6,14,8,0,0,0,1,0,8,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0
8,Baptiste Santamaria,fr FRA,18.0,DM,24-041,90,0,0,0,0,2,1,0,0,66,5,2,3,0.1,0.1,0.0,1,0,43,50,86.0,4,26,4,2,2,43,50,86.0,783,272,19,21,90.5,17,19,89.5,5,6,83.3,0,0.0,0.0,0,5,0,0,4,50,49,1,1,0,2,0,0,0,0,0,0,43,0,1,5,2,3,2,0,3,4,75.0,1,3,1,2,2,7,4,0,66,2,20,41,5,1,66,2,2,100.0,0,0.0,26,201,130,4,2,0,0,1,37,1,0,0,0,1,0,0,0,2,2,0,0,0,4,3,0,100.0
9,Vincent Manceau,fr FRA,29.0,LB,29-283,90,0,0,0,0,1,0,0,0,75,3,3,2,0.0,0.0,0.0,1,0,50,58,86.2,1,26,1,0,0,50,58,86.2,661,318,33,37,89.2,15,15,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,58,53,5,0,0,0,1,5,0,0,0,0,50,0,1,3,3,0,3,0,2,5,40.0,3,2,1,1,3,6,3,0,75,11,35,29,12,0,75,0,0,,0,,26,130,64,1,1,0,0,0,40,5,0,0,0,0,0,0,1,3,3,0,0,0,8,1,1,50.0
