,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Christian Benteke,be BEL,20.0,FW,30-023,90,0,0,0,0,2,0,0,0,26,0,0,1,0.1,0.1,0.1,2,0,11,20,55.0,2,8,1,0,0,11,20,55.0,137,12,5,9,55.6,4,6,66.7,0,0,,0,0.1,0.1,1,1,0,0,2,20,17,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,26,2,2,12,12,5,26,0,0,,0,,8,46,26,1,0,1,1,1,20,6,0,0,0,1,0,2,0,0,0,0,0,0,1,7,9,43.8
1,Wilfried Zaha,ci CIV,11.0,"FW,LM",28-046,90,0,0,0,0,2,1,1,0,33,2,0,0,0.3,0.3,0.0,6,0,20,26,76.9,4,27,4,1,1,20,26,76.9,314,86,10,15,66.7,6,7,85.7,2,2,100.0,0,0.0,0.1,0,1,2,0,4,26,26,0,0,0,0,5,0,0,0,0,0,20,0,0,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,33,0,3,14,16,5,33,1,1,100.0,0,0.0,27,185,141,4,2,1,2,1,34,11,1,0,0,1,8,0,5,0,1,0,0,0,2,0,2,0.0
2,Eberechi Eze,eng ENG,25.0,"LM,CM",22-180,90,0,0,0,0,3,3,1,0,68,1,0,0,0.2,0.2,0.0,6,0,41,55,74.5,5,49,1,6,4,41,55,74.5,595,160,24,27,88.9,16,21,76.2,1,6,16.7,0,0.0,0.0,1,1,0,0,5,55,49,6,2,0,1,8,0,4,1,3,0,41,0,0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,68,2,8,33,29,3,68,6,4,66.7,2,33.3,49,306,114,1,2,1,2,1,54,6,1,0,0,1,2,0,8,0,1,0,0,0,4,0,1,0.0
3,James McArthur,sct SCO,18.0,CM,33-080,74,0,0,0,0,0,0,0,0,76,1,0,1,0.0,0.0,0.1,2,0,55,68,80.9,7,41,2,3,3,55,68,80.9,876,226,30,34,88.2,22,24,91.7,3,7,42.9,0,0.1,0.1,1,6,2,0,7,68,63,5,3,0,0,1,1,0,0,0,0,55,0,3,1,0,0,1,0,0,3,0.0,3,1,0,1,0,1,1,0,76,1,13,50,16,0,76,3,3,100.0,0,0.0,41,321,154,2,3,0,3,1,48,3,0,0,0,2,0,0,1,0,0,0,0,0,14,1,1,50.0
4,Michy Batshuayi,be BEL,23.0,FW,27-085,16,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,3,0,8,9,88.9,1,6,1,0,0,8,9,88.9,132,38,4,4,100.0,2,3,66.7,1,1,100.0,0,0.1,0.1,2,1,1,0,1,9,9,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,9,0,0,4,5,2,9,0,0,,0,,6,67,32,1,0,1,0,0,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
5,Luka Milivojević,rs SRB,4.0,CM,29-263,68,0,0,0,0,3,2,1,0,58,1,1,0,0.2,0.2,0.0,0,0,41,51,80.4,4,34,1,0,0,41,51,80.4,608,244,19,21,90.5,18,22,81.8,2,5,40.0,0,0.0,0.0,0,5,0,0,4,51,50,1,1,0,0,1,0,0,0,0,0,41,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,1,0,58,3,12,32,15,0,58,0,0,,0,,34,168,92,1,2,0,0,0,37,1,1,0,0,4,2,0,1,1,1,0,0,0,5,1,1,50.0
6,Jaïro Riedewald,nl NED,44.0,CM,24-108,22,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,14,17,82.4,1,13,1,0,0,14,17,82.4,277,59,6,6,100.0,4,6,66.7,4,4,100.0,0,0.1,0.0,1,0,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,1,6,9,4,2,19,0,0,,0,,13,124,74,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
7,Jeffrey Schlupp,gh GHA,15.0,RM,28-003,81,0,0,0,0,0,0,0,0,45,3,0,2,0.0,0.0,0.0,0,0,21,28,75.0,6,30,2,7,1,21,28,75.0,278,86,12,13,92.3,6,8,75.0,1,3,33.3,0,0.0,0.0,0,1,1,0,6,28,27,0,0,0,0,1,0,0,0,0,0,21,1,1,3,0,2,1,0,2,4,50.0,2,2,2,0,0,3,0,0,45,2,8,16,21,2,45,7,1,14.3,6,85.7,30,173,65,2,1,1,2,3,34,9,0,0,0,3,3,0,1,0,0,0,0,0,3,1,1,50.0
8,Andros Townsend,eng ENG,10.0,RM,29-163,9,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,12,13,92.3,5,9,2,1,0,12,13,92.3,174,92,6,7,85.7,4,4,100.0,1,1,100.0,0,0.0,0.0,1,1,1,1,5,13,11,2,1,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,0,7,7,0,14,1,0,0.0,1,100.0,9,106,86,2,3,0,0,0,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
9,Patrick van Aanholt,nl NED,3.0,LB,30-119,90,0,0,0,0,0,0,0,0,79,0,1,0,0.0,0.0,0.1,3,0,57,74,77.0,8,36,1,1,0,57,74,77.0,718,316,38,42,90.5,15,22,68.2,1,5,20.0,0,0.1,0.1,1,5,1,0,8,74,61,12,2,0,1,2,10,0,0,0,0,57,1,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,79,1,21,40,19,1,79,1,0,0.0,1,100.0,36,178,115,1,1,0,0,0,48,8,0,0,0,0,1,0,2,1,0,0,0,0,7,3,1,75.0
10,Scott Dann,eng ENG,6.0,CB,33-316,90,0,0,0,0,1,0,0,0,50,0,2,1,0.1,0.1,0.0,1,0,41,45,91.1,5,25,0,0,0,41,45,91.1,610,297,22,24,91.7,17,18,94.4,2,3,66.7,0,0.0,0.0,0,2,0,0,5,45,44,1,1,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,,0,1,1,0,2,2,0,0,50,5,25,23,2,1,50,0,0,,0,,25,74,38,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,5,3,4,42.9
11,Cheikhou Kouyaté,sn SEN,8.0,CB,31-005,90,0,0,0,0,0,0,0,0,51,3,1,1,0.0,0.0,0.0,0,0,38,46,82.6,2,27,0,0,0,38,46,82.6,442,240,26,27,96.3,9,12,75.0,0,4,0.0,0,0.0,0.0,0,1,0,0,2,46,42,4,4,0,0,0,0,0,0,0,0,38,0,0,3,3,3,0,0,2,4,50.0,2,1,1,0,1,4,2,0,51,5,26,24,1,0,51,0,0,,0,,27,142,93,0,1,0,0,0,25,0,0,0,0,2,1,0,0,1,3,0,0,0,9,2,2,50.0
12,Joel Ward,eng ENG,2.0,RB,31-058,90,0,0,0,0,1,0,1,0,62,1,2,6,0.0,0.0,0.0,0,0,37,48,77.1,8,27,5,0,0,37,48,77.1,472,251,26,30,86.7,10,12,83.3,1,5,20.0,0,0.0,0.0,0,4,0,0,8,48,43,5,0,0,0,6,5,0,0,0,0,37,0,2,1,1,1,0,0,1,1,100.0,0,6,1,5,2,3,3,0,62,6,16,19,27,1,62,0,0,,0,,27,246,151,5,2,0,0,0,30,6,1,0,0,2,0,0,6,2,1,0,0,0,6,2,5,28.6
