,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Ondrej Duda,sk SVK,18.0,FW,26-028,90,0,0,0,0,2,0,0,0,54,2,0,0,0.1,0.1,0.3,7,0,23,43,53.5,2,29,1,4,4,23,43,53.5,448,217,6,11,54.5,8,15,53.3,5,10,50.0,0,0.3,0.2,4,2,0,0,2,43,30,13,5,1,1,14,0,8,3,5,0,23,0,1,2,1,0,1,1,0,1,0.0,1,0,0,0,0,2,1,0,54,1,2,24,29,2,54,4,4,100.0,0,0.0,29,89,44,1,1,0,2,3,31,5,0,0,0,6,1,0,14,0,1,0,0,0,5,3,2,60.0
1,Jan Thielmann,de GER,29.0,FW,18-221,60,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.1,2,0,13,18,72.2,3,7,1,0,0,13,18,72.2,153,42,9,10,90.0,2,2,100.0,1,1,100.0,0,0.1,0.0,2,2,0,0,3,18,17,0,0,0,0,2,0,0,0,0,0,13,1,3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,21,0,2,10,9,0,21,0,0,,0,,7,56,34,1,0,0,1,0,10,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0.0
2,Jonas Hector,de GER,14.0,CM,30-220,30,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,1,0,9,12,75.0,0,3,0,0,0,9,12,75.0,103,4,5,7,71.4,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,15,0,2,11,2,0,15,0,0,,0,,3,3,1,0,0,0,1,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0
3,Noah Katterbach,de GER,3.0,"LW,LB",19-264,86,0,0,0,0,1,0,0,0,50,3,1,0,0.0,0.0,0.0,1,0,25,37,67.6,2,24,2,2,1,25,37,67.6,385,137,15,20,75.0,8,12,66.7,2,3,66.7,0,0.0,0.0,0,0,1,0,2,37,28,9,0,0,0,0,9,0,0,0,0,25,0,1,3,2,1,1,1,1,2,50.0,1,0,0,0,1,4,3,0,50,2,22,21,7,0,50,2,1,50.0,1,50.0,24,133,57,2,1,0,3,0,26,2,0,0,0,0,2,0,0,1,2,0,0,0,4,2,1,66.7
4,Toluwalase Arokodare,ng NGA,7.0,LM,20-040,4,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,1,2,50.0,1,0,0,0,0,1,2,50.0,16,15,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,3,0,0,1,2,0,3,0,0,,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,66.7
5,Marius Wolf,de GER,31.0,"RW,RB",25-220,90,0,0,0,0,4,1,0,0,76,3,1,1,0.2,0.2,0.0,4,0,41,61,67.2,5,39,3,5,3,41,61,67.2,622,269,22,25,88.0,16,21,76.2,2,3,66.7,0,0.0,0.0,1,2,1,1,5,61,45,16,0,0,0,4,16,0,0,0,0,41,0,6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,1,0,76,3,20,31,28,3,76,5,3,60.0,2,40.0,39,219,142,3,0,0,1,1,41,2,0,0,0,4,5,0,4,1,2,0,0,0,8,1,0,100.0
6,Elvis Rexhbeçaj,de GER,20.0,CM,23-062,61,0,0,0,0,1,0,0,0,22,3,0,1,0.0,0.0,0.0,0,0,7,15,46.7,0,11,1,1,1,7,15,46.7,183,64,3,5,60.0,1,3,33.3,2,6,33.3,0,0.0,0.0,0,0,0,0,0,15,14,1,0,0,1,1,0,0,0,0,0,7,0,0,3,3,2,1,0,1,5,20.0,4,1,0,1,0,3,0,0,22,0,10,10,2,0,22,1,1,100.0,0,0.0,11,56,28,1,0,0,3,0,12,1,0,0,0,2,0,0,1,0,3,0,0,0,8,0,2,0.0
7,Anthony Modeste,fr FRA,27.0,FW,32-263,29,0,0,0,0,1,0,1,0,7,0,0,0,0.1,0.1,0.0,1,0,2,6,33.3,0,1,0,0,0,2,6,33.3,28,4,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,4,3,1,7,0,0,,0,,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,100.0
8,Salih Özcan,tr TUR,21.0,CM,22-357,81,0,0,0,0,1,0,0,0,42,0,1,1,0.0,0.0,0.0,1,0,22,30,73.3,3,22,0,0,0,22,30,73.3,305,46,9,11,81.8,10,11,90.9,0,1,0.0,0,0.0,0.0,0,2,0,0,3,30,28,2,0,0,0,0,2,0,0,0,0,22,0,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,42,1,8,25,9,2,42,0,0,,0,,22,59,18,0,0,1,2,2,25,3,0,0,0,0,1,2,0,1,0,0,0,0,8,1,0,100.0
9,Dominick Drexler,de GER,24.0,RM,30-221,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,0,8,4,0,0,6,9,66.7,42,6,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,9,8,1,0,0,0,3,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,,0,,8,74,36,4,0,0,0,2,8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
