,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Sergio Agüero,ar ARG,10.0,FW,30-175,80,0,0,0,0,1,0,0,0,43,0,1,0,0.1,0.1,0.0,0,0,32,39,82.1,0,31,1,2,1,32,39,82.1,352,30,18,21,85.7,8,10,80.0,0,0,,0,0.0,0.0,1,2,0,0,0,39,36,2,1,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,43,0,1,23,20,3,43,2,1,50.0,1,50.0,31,143,26,1,2,0,1,1,36,7,0,0,0,0,1,2,0,1,0,0,0,0,5,0,1,0.0
1,Gabriel Jesus,br BRA,33.0,FW,21-235,10,0,1,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,1,10,11,90.9,0,8,0,2,1,10,11,90.9,103,16,6,7,85.7,1,1,100.0,0,0,,1,0.1,0.0,1,3,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13,0,0,6,7,3,13,2,1,50.0,1,50.0,8,28,11,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Leroy Sané,de GER,19.0,LW,22-317,90,2,1,0,0,3,3,0,0,72,1,0,1,1.0,1.0,0.9,4,2,45,56,80.4,4,50,6,9,6,45,56,80.4,450,75,34,37,91.9,5,8,62.5,1,1,100.0,1,0.9,0.6,3,0,2,0,4,56,55,0,0,1,0,2,0,0,0,0,0,45,1,3,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,72,0,4,27,42,11,72,9,6,66.7,3,33.3,50,227,120,6,3,3,4,6,60,20,0,0,0,0,0,0,2,0,1,0,0,0,6,2,2,50.0
3,Raheem Sterling,eng ENG,7.0,RW,23-351,73,1,1,0,0,1,1,0,0,48,0,1,1,0.8,0.8,0.9,2,1,33,40,82.5,2,33,3,2,0,33,40,82.5,407,76,20,21,95.2,9,9,100.0,0,1,0.0,1,0.9,0.3,2,1,0,0,2,40,37,2,2,0,0,0,0,0,0,0,0,33,1,3,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,48,0,4,22,22,6,48,2,0,0.0,2,100.0,33,158,98,3,1,2,2,1,38,9,0,0,0,2,1,0,0,1,0,0,0,0,6,1,0,100.0
4,Riyad Mahrez,dz ALG,26.0,RW,27-276,17,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,1,15,16,93.8,3,15,1,0,0,15,16,93.8,279,38,5,6,83.3,7,7,100.0,2,2,100.0,0,0.0,0.0,0,1,2,0,3,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,3,9,5,0,17,0,0,,0,,15,106,32,1,1,0,1,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
5,İlkay Gündoğan,de GER,8.0,"LM,RM",28-031,68,0,0,0,0,1,1,0,0,55,0,1,2,0.1,0.1,0.1,0,0,40,46,87.0,3,32,1,0,0,40,46,87.0,519,112,24,27,88.9,10,11,90.9,2,3,66.7,0,0.1,0.1,1,3,0,0,3,46,44,2,1,0,0,1,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,55,0,6,32,18,3,55,0,0,,0,,32,137,72,1,1,0,2,0,39,7,0,0,0,0,1,0,1,1,0,0,0,0,3,0,1,0.0
6,Phil Foden,eng ENG,47.0,LM,18-180,22,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,2,28,2,0,0,27,32,84.4,266,56,17,21,81.0,5,5,100.0,0,0,,0,0.0,0.0,0,4,0,0,2,32,32,0,0,2,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,33,0,0,24,9,0,33,0,0,,0,,28,110,65,2,2,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,Fernandinho,br BRA,25.0,CM,33-204,90,0,0,0,0,0,0,0,0,106,3,3,2,0.0,0.0,0.0,1,1,81,92,88.0,7,71,2,1,1,81,92,88.0,1225,363,44,46,95.7,22,25,88.0,7,10,70.0,0,0.0,0.0,0,6,1,0,7,92,91,1,1,1,2,0,0,0,0,0,0,81,0,2,3,3,2,1,0,3,3,100.0,0,2,0,2,3,6,2,0,106,2,18,82,6,0,106,1,1,100.0,0,0.0,71,372,202,2,2,0,3,0,81,0,0,0,0,0,0,0,0,3,3,0,0,0,8,2,4,33.3
8,David Silva,es ESP,21.0,"RM,LM",32-320,90,1,0,0,0,3,1,0,0,119,1,2,0,0.8,0.8,0.0,3,1,101,109,92.7,14,89,7,0,0,101,109,92.7,1349,300,62,63,98.4,29,34,85.3,3,4,75.0,0,0.0,0.1,0,7,2,0,14,109,109,0,0,1,0,1,0,0,0,0,0,101,0,0,1,1,1,0,0,0,0,,0,0,0,0,2,3,1,0,119,1,14,77,29,5,119,0,0,,0,,89,485,269,7,6,0,1,2,104,6,0,0,0,0,1,1,1,2,1,0,0,0,8,1,0,100.0
9,Fabian Delph,eng ENG,18.0,LB,29-003,90,0,0,0,0,0,0,0,0,142,5,1,1,0.0,0.0,0.0,2,0,122,131,93.1,12,101,0,1,1,122,131,93.1,1617,441,77,82,93.9,33,36,91.7,7,8,87.5,0,0.0,0.0,0,11,1,0,12,131,126,5,0,0,0,0,5,0,0,0,0,122,0,0,5,2,4,1,0,5,8,62.5,3,1,0,1,1,6,0,0,142,3,21,109,12,0,142,1,1,100.0,0,0.0,101,326,109,0,1,0,2,0,115,2,0,0,0,1,1,0,0,1,2,0,0,0,6,2,2,50.0
