,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Habib Diallo,sn SEN,20.0,FW,24-232,90,0,1,0,1,6,2,0,0,29,0,0,0,1.3,0.5,0.0,5,2,6,15,40.0,2,9,1,3,1,6,15,40.0,103,43,4,8,50.0,0,0,,1,2,50.0,1,0.0,0.0,1,2,0,0,2,15,15,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,29,2,4,11,14,6,28,3,1,33.3,2,66.7,9,51,27,1,2,0,0,0,19,2,0,0,0,1,1,1,0,0,0,0,0,0,0,6,7,46.2
1,Ibrahima Niane,sn SEN,7.0,FW,20-331,90,0,0,0,0,3,0,0,0,34,1,0,0,0.1,0.1,0.0,5,0,13,23,56.5,1,25,4,4,2,13,23,56.5,184,33,7,9,77.8,2,7,28.6,2,5,40.0,0,0.0,0.0,1,1,1,1,1,23,18,5,1,0,0,6,0,4,4,0,0,13,0,0,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,34,0,1,14,20,1,34,4,2,50.0,2,50.0,25,149,107,4,3,3,6,3,30,8,0,0,0,3,5,0,6,0,1,1,0,0,2,1,7,12.5
2,Vincent Pajot,fr FRA,14.0,CM,29-170,73,0,0,0,0,2,1,0,0,55,1,3,0,0.1,0.1,0.1,2,0,36,45,80.0,3,25,2,2,1,36,45,80.0,619,140,16,20,80.0,11,15,73.3,6,6,100.0,0,0.1,0.1,2,4,1,0,3,45,37,8,2,0,1,4,0,4,3,1,0,36,0,1,1,1,0,1,0,0,0,,0,0,0,0,3,4,0,0,55,0,5,34,16,1,55,2,1,50.0,1,50.0,25,148,58,2,0,0,2,1,30,0,0,0,0,2,2,0,4,3,1,0,0,0,5,0,0,
3,Farid Boulaya,dz ALG,27.0,CM,26-345,17,1,0,0,0,1,1,0,0,18,0,0,0,0.0,0.0,0.0,0,0,9,15,60.0,1,14,1,0,0,9,15,60.0,179,16,5,6,83.3,2,6,33.3,2,3,66.7,0,0.0,0.0,0,0,0,0,1,15,13,2,2,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,0,10,8,1,18,0,0,,0,,14,95,34,1,2,0,1,0,15,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,33.3
4,Kévin N'Doram,fr FRA,4.0,CM,24-014,90,0,0,0,0,0,0,1,0,54,3,2,2,0.0,0.0,0.0,2,0,36,40,90.0,5,27,1,4,2,36,40,90.0,557,154,17,18,94.4,16,17,94.1,2,3,66.7,0,0.0,0.0,1,3,0,0,5,40,40,0,0,0,0,0,0,0,0,0,0,36,0,0,3,0,3,0,0,1,3,33.3,2,2,1,1,2,5,0,0,54,2,14,37,4,0,54,4,2,50.0,2,50.0,27,204,93,1,2,0,3,1,36,0,1,0,0,5,0,0,0,2,0,0,0,0,5,1,2,33.3
5,Habib Maïga,ci CIV,19.0,CM,24-035,64,0,0,0,0,1,1,0,0,48,2,0,2,0.0,0.0,0.3,3,0,29,39,74.4,4,27,4,2,1,29,39,74.4,432,111,14,17,82.4,12,15,80.0,1,3,33.3,0,0.3,0.2,2,3,1,0,4,39,38,0,0,0,1,0,0,0,0,0,0,29,1,0,2,1,0,0,2,0,0,,0,2,0,2,0,2,0,0,48,0,3,32,13,1,48,2,1,50.0,1,50.0,27,182,132,4,1,0,4,1,34,3,0,0,0,1,0,0,0,0,1,0,0,0,3,3,0,100.0
6,Victorien Angban,ci CIV,5.0,CM,23-129,26,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.0,1,0,25,31,80.6,0,16,1,0,0,25,31,80.6,454,36,13,17,76.5,10,11,90.9,2,3,66.7,0,0.0,0.1,0,0,0,0,0,31,30,1,1,0,1,0,0,0,0,0,0,25,0,0,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,34,0,6,24,4,1,34,0,0,,0,,16,108,66,1,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
7,Thomas Delaine,fr FRA,17.0,WB,27-318,90,0,0,0,0,2,0,0,0,64,0,1,1,0.1,0.1,0.1,1,0,42,53,79.2,0,24,1,0,0,42,53,79.2,519,179,27,29,93.1,14,21,66.7,0,2,0.0,0,0.1,0.2,1,0,1,1,0,53,37,16,1,0,0,4,15,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,64,1,15,30,19,1,64,0,0,,0,,24,144,72,1,2,1,2,2,36,6,0,0,0,2,0,0,4,1,0,0,0,0,3,3,0,100.0
8,Fabien Centonze,fr FRA,18.0,WB,24-020,90,0,0,0,0,1,1,0,0,59,2,3,2,0.0,0.0,0.2,6,0,37,49,75.5,2,30,4,1,1,37,49,75.5,628,246,19,22,86.4,13,19,68.4,4,5,80.0,0,0.2,0.1,4,3,1,1,2,49,40,9,1,0,0,2,8,0,0,0,0,37,0,2,2,2,1,0,1,1,1,100.0,0,2,0,2,3,5,2,0,59,2,19,29,12,3,59,1,1,100.0,0,0.0,30,305,165,4,3,2,2,1,32,1,0,0,0,0,2,0,2,3,2,0,0,0,10,2,3,40.0
9,Mamadou Fofana,ml MLI,6.0,CB,22-015,90,0,0,0,0,0,0,0,0,58,1,3,2,0.0,0.0,0.0,0,0,35,41,85.4,2,23,0,0,0,35,41,85.4,661,250,14,17,82.4,15,15,100.0,6,9,66.7,0,0.0,0.0,0,0,0,0,2,41,41,0,0,0,0,0,0,0,0,0,0,35,0,0,1,1,1,0,0,1,2,50.0,1,2,0,2,3,4,10,0,58,8,32,26,0,0,58,0,0,,0,,23,130,62,0,0,0,0,0,32,0,0,0,0,2,0,0,0,3,1,0,0,0,5,1,4,20.0
10,John Boye,gh GHA,21.0,CB,32-288,90,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,2,0,22,28,78.6,1,18,0,0,0,22,28,78.6,455,196,6,7,85.7,10,12,83.3,5,8,62.5,0,0.0,0.0,0,0,0,0,1,28,28,0,0,0,1,0,0,0,0,0,0,22,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,34,4,19,14,1,0,34,0,0,,0,,18,100,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,2,33.3
11,Dylan Bronn,tn TUN,2.0,CB,24-231,90,0,0,0,0,1,1,0,0,45,1,0,0,0.1,0.1,0.0,1,0,30,39,76.9,1,17,0,0,0,30,39,76.9,618,240,10,10,100.0,16,18,88.9,4,11,36.4,0,0.0,0.0,0,1,0,0,1,39,37,2,1,0,1,0,1,0,0,0,0,30,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,45,5,25,18,2,1,45,0,0,,0,,17,96,72,0,0,0,1,0,31,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,1,0.0
