,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Joelinton,br BRA,9.0,"FW,LM",23-066,82,0,0,0,0,1,0,0,0,34,1,0,0,0.1,0.1,0.0,1,0,16,20,80.0,2,19,2,3,0,16,20,80.0,195,28,13,14,92.9,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,2,20,19,1,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,34,1,3,18,13,2,34,3,0,0.0,3,100.0,19,90,25,2,1,1,4,2,24,3,0,0,0,0,1,1,0,0,0,0,0,0,3,4,6,40.0
1,Christian Atsu,gh GHA,30.0,LM,27-282,8,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.2,1,0,3,3,100.0,0,3,0,0,0,3,3,100.0,54,22,2,2,100.0,0,0,,1,1,100.0,0,0.2,0.1,1,0,1,1,0,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8,0,0,3,5,0,8,0,0,,0,,3,26,6,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
2,Allan Saint-Maximin,fr FRA,10.0,"LM,RM",22-221,84,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.1,3,0,11,15,73.3,1,19,5,8,4,11,15,73.3,175,47,7,8,87.5,1,3,33.3,2,2,100.0,0,0.1,0.1,3,1,1,1,1,15,15,0,0,0,0,2,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,1,6,11,13,1,25,8,4,50.0,4,50.0,19,278,192,5,3,0,2,2,14,1,0,0,0,1,2,0,2,0,0,0,0,0,6,0,0,
3,Dwight Gayle,eng ENG,12.0,RM,29-002,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Sean Longstaff,eng ENG,36.0,CM,21-354,90,0,0,0,0,0,0,0,0,39,1,2,1,0.0,0.0,0.0,1,0,21,30,70.0,1,16,0,0,0,21,30,70.0,272,84,10,12,83.3,7,8,87.5,0,3,0.0,0,0.0,0.0,0,1,0,0,1,30,25,4,4,0,1,2,0,0,0,0,0,21,1,1,1,0,1,0,0,0,2,0.0,2,1,0,1,2,3,3,0,39,2,13,22,6,0,39,0,0,,0,,16,61,13,0,1,0,0,0,16,0,0,0,0,0,1,0,2,2,0,0,0,0,4,2,1,66.7
5,Matthew Longstaff,eng ENG,43.0,CM,19-212,90,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,1,0,19,29,65.5,2,22,1,0,0,19,29,65.5,294,55,7,8,87.5,8,13,61.5,1,3,33.3,0,0.0,0.0,0,0,1,0,2,29,29,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,6,0.0,6,1,0,1,0,0,0,0,33,2,10,17,6,0,33,0,0,,0,,22,70,39,1,1,0,0,3,20,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2,3,40.0
6,Miguel Almirón,py PAR,24.0,RM,25-251,69,0,0,0,0,1,0,0,0,37,2,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,24,5,4,0,19,24,79.2,217,22,8,10,80.0,6,7,85.7,0,0,,0,0.0,0.0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,19,0,0,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,1,0,37,2,8,8,21,0,37,4,0,0.0,4,100.0,24,183,63,5,3,0,3,0,24,2,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,
7,Andy Carroll,eng ENG,7.0,FW,30-286,21,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,3,0,1,1,3,6,50.0,19,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,5,2,0,7,1,1,100.0,0,0.0,3,9,0,0,0,0,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,75.0
8,Jetro Willems,nl NED,15.0,LB,25-203,90,0,0,0,0,1,0,0,0,44,1,0,3,0.0,0.0,0.0,0,0,14,29,48.3,1,17,1,1,0,14,29,48.3,264,101,5,7,71.4,8,15,53.3,1,4,25.0,0,0.0,0.0,0,3,0,0,1,29,21,8,0,0,0,1,8,0,0,0,0,14,0,2,1,1,1,0,0,0,0,,0,3,0,3,0,1,5,0,44,6,17,16,11,2,44,1,0,0.0,1,100.0,17,89,36,1,2,0,2,0,13,1,0,0,0,1,1,0,1,0,1,0,0,0,8,2,0,100.0
9,Ciaran Clark,ie IRL,2.0,CB,30-023,90,0,0,0,0,1,0,1,0,28,3,0,2,0.2,0.2,0.0,0,0,9,15,60.0,1,10,0,2,2,9,15,60.0,212,47,2,4,50.0,3,4,75.0,3,6,50.0,0,0.0,0.0,0,0,0,0,1,15,15,0,0,0,1,0,0,0,0,0,0,9,0,0,3,1,3,0,0,1,2,50.0,1,2,2,0,0,3,6,0,28,9,15,12,1,1,28,2,2,100.0,0,0.0,10,45,21,0,0,0,0,0,11,0,1,0,0,3,0,0,0,0,1,0,0,0,3,1,3,25.0
10,Jamaal Lascelles,eng ENG,6.0,CB,25-342,90,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,13,21,61.9,0,10,0,0,0,13,21,61.9,203,77,8,11,72.7,5,9,55.6,0,1,0.0,0,0.0,0.0,0,1,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,28,7,16,11,1,0,28,0,0,,0,,10,28,10,0,0,0,1,0,8,0,0,0,0,3,0,0,0,1,0,0,0,0,5,3,3,50.0
11,Fabian Schär,ch SUI,5.0,CB,27-303,90,0,0,0,0,0,0,0,0,48,0,3,3,0.0,0.0,0.0,0,0,21,32,65.6,0,20,0,1,0,21,32,65.6,315,182,12,13,92.3,7,9,77.8,1,9,11.1,0,0.0,0.0,0,1,0,0,0,32,26,6,0,0,2,1,6,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0.0,3,3,2,1,3,3,8,0,48,9,28,13,7,0,48,1,0,0.0,1,100.0,20,104,42,0,0,0,1,1,20,1,0,0,0,2,0,0,1,3,0,0,0,0,6,0,3,0.0
12,DeAndre Yedlin,us USA,22.0,RB,26-102,90,0,0,0,0,0,0,0,0,46,4,0,1,0.0,0.0,0.0,1,0,23,35,65.7,2,24,1,0,0,23,35,65.7,254,75,14,16,87.5,2,4,50.0,1,6,16.7,0,0.0,0.0,0,2,1,1,2,35,33,2,1,0,0,3,1,0,0,0,0,23,0,1,4,3,2,2,0,1,3,33.3,2,1,1,0,0,4,2,0,46,5,15,18,13,0,46,0,0,,0,,24,65,45,1,1,0,2,0,24,1,0,0,0,0,2,0,3,0,3,0,0,0,4,0,1,0.0
