,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Duván Zapata,co COL,91.0,FW,28-335,84,3,0,0,0,5,3,0,0,52,0,1,2,1.4,1.4,0.0,4,0,30,39,76.9,1,41,3,3,1,30,39,76.9,364,49,22,26,84.6,7,10,70.0,0,1,0.0,0,0.0,0.4,1,1,0,0,1,39,39,0,0,0,0,2,0,0,0,0,0,30,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,52,0,0,17,35,9,52,3,1,33.3,2,66.7,41,195,37,3,0,2,2,4,46,13,0,0,0,0,2,1,2,1,0,0,0,0,3,1,3,25.0
1,Adrien Tameze,cm CMR,5.0,CM,26-026,6,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Josip Iličić,si SVN,72.0,FW,32-032,72,1,2,0,0,5,2,0,0,74,1,0,0,0.8,0.8,1.1,11,5,49,64,76.6,12,47,8,5,5,49,64,76.6,783,252,26,28,92.9,14,21,66.7,5,8,62.5,2,1.1,1.0,4,3,7,0,12,64,55,9,0,3,2,5,0,7,0,5,0,49,0,3,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,74,0,4,26,44,6,74,5,5,100.0,0,0.0,47,328,177,8,5,3,2,0,57,10,0,0,0,0,1,0,5,0,1,0,0,0,2,0,0,
3,Luis Muriel,co COL,9.0,FW,28-320,18,1,0,0,0,3,2,0,0,20,0,0,0,0.7,0.7,0.0,3,1,15,16,93.8,1,11,3,0,0,15,16,93.8,198,71,8,8,100.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,16,16,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,0,2,12,7,2,20,0,0,,0,,11,108,83,3,0,1,1,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
4,Papu Gómez,ar ARG,10.0,AM,32-015,68,0,0,0,0,2,1,0,0,80,2,0,1,0.4,0.4,0.1,6,2,63,71,88.7,5,52,6,4,1,63,71,88.7,997,222,29,29,100.0,26,29,89.7,4,6,66.7,0,0.1,0.2,2,5,1,0,5,71,66,5,1,0,0,3,0,3,0,3,0,63,0,1,2,0,0,1,1,0,0,,0,1,0,1,0,2,0,0,80,0,2,51,28,4,80,4,1,25.0,3,75.0,52,387,225,6,2,1,0,2,69,6,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,
5,Ruslan Malinovskyi,ua UKR,18.0,AM,26-302,22,1,0,0,0,2,1,0,0,22,0,0,1,0.1,0.1,0.5,2,0,14,17,82.4,2,11,2,0,0,14,17,82.4,205,84,9,11,81.8,2,2,100.0,2,3,66.7,0,0.5,0.2,2,2,1,0,2,17,16,1,0,1,0,1,0,1,1,0,0,14,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,22,1,2,13,7,0,22,0,0,,0,,11,53,31,2,1,0,1,0,17,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,
6,Remo Freuler,ch SUI,11.0,CM,27-321,90,0,0,0,0,0,0,0,0,98,1,1,1,0.0,0.0,0.2,4,0,82,90,91.1,9,50,4,2,0,82,90,91.1,1079,337,56,61,91.8,23,24,95.8,1,2,50.0,0,0.2,0.1,4,8,2,0,9,90,85,5,2,0,0,0,3,0,0,0,0,82,0,1,1,1,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,98,0,5,68,25,0,98,2,0,0.0,2,100.0,50,239,136,4,4,0,1,1,70,1,0,0,0,1,1,0,0,1,1,0,0,0,11,1,1,50.0
7,Mario Pašalić,hr CRO,88.0,"CM,FW",25-021,90,0,2,0,0,3,0,0,0,78,2,3,3,0.7,0.7,1.4,5,2,57,63,90.5,8,45,2,1,0,57,63,90.5,884,276,29,32,90.6,22,23,95.7,4,5,80.0,2,1.4,0.6,5,6,1,0,8,63,63,0,0,0,0,0,0,0,0,0,0,57,0,0,2,1,0,2,0,0,3,0.0,3,3,1,2,3,5,1,0,78,3,14,42,23,4,78,1,0,0.0,1,100.0,45,161,68,2,1,0,2,1,58,3,0,0,0,0,2,0,0,3,1,0,0,0,11,4,1,80.0
8,Robin Gosens,de GER,8.0,WB,25-240,90,0,0,0,0,2,0,0,0,77,1,1,0,0.1,0.1,0.0,2,0,58,69,84.1,7,38,2,0,0,58,69,84.1,743,185,32,36,88.9,17,21,81.0,2,3,66.7,0,0.0,0.1,0,3,3,0,7,69,64,5,0,0,0,1,5,0,0,0,0,58,0,1,1,1,0,0,1,0,2,0.0,2,0,0,0,1,2,1,0,77,0,6,41,31,4,77,0,0,,0,,38,213,135,2,4,0,2,0,61,7,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,
9,Hans Hateboer,nl NED,33.0,WB,26-052,90,0,0,0,0,0,0,1,0,68,2,0,2,0.0,0.0,0.6,5,1,50,61,82.0,1,33,4,0,0,50,61,82.0,707,213,32,40,80.0,14,15,93.3,2,2,100.0,0,0.6,0.5,2,3,0,0,1,61,54,7,1,0,1,2,6,0,0,0,0,50,0,2,2,1,2,0,0,2,3,66.7,1,2,1,1,0,2,0,0,68,2,18,24,26,6,68,0,0,,0,,33,188,128,4,2,3,1,1,47,9,1,0,0,2,0,0,2,0,1,0,0,0,2,0,2,0.0
