,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Andrea Belotti,it ITA,9.0,FW,25-104,90,2,0,0,0,4,3,0,0,33,2,1,1,0.2,0.2,0.0,3,1,10,16,62.5,2,20,3,7,4,10,16,62.5,142,35,6,9,66.7,4,6,66.7,0,0,,0,0.0,0.0,0,1,2,0,2,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1,2,1,0,2,0,0,1,0.0,1,1,0,1,1,3,0,0,33,0,1,14,20,4,33,7,4,57.1,3,42.9,20,130,55,3,2,0,4,2,24,5,0,0,0,2,1,1,0,1,1,0,0,0,4,6,2,75.0
1,Álex Berenguer,es ESP,21.0,FW,23-273,88,0,0,0,0,0,0,0,0,36,0,0,2,0.0,0.0,0.0,2,1,25,28,89.3,3,21,2,2,1,25,28,89.3,322,56,14,15,93.3,9,11,81.8,0,0,,0,0.0,0.0,0,1,0,0,3,28,27,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,36,0,2,13,21,3,36,2,1,50.0,1,50.0,21,108,41,2,1,1,1,1,28,10,0,0,0,1,1,0,0,0,0,0,0,0,3,1,4,20.0
2,Saša Lukić,rs SRB,7.0,FW,22-233,2,0,0,0,0,1,1,1,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,1,1,100.0,4,2,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,3,0,0,2,1,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
3,Daniele Baselli,it ITA,8.0,DM,27-022,90,0,0,0,0,3,1,0,0,53,4,2,1,0.1,0.1,0.1,5,0,27,42,64.3,5,23,2,2,1,27,42,64.3,467,160,10,18,55.6,13,17,76.5,3,6,50.0,0,0.1,0.2,2,3,2,1,5,42,33,9,2,0,1,4,0,5,1,1,0,27,0,0,4,3,0,2,2,2,2,100.0,0,1,0,1,2,6,0,0,53,0,8,18,28,3,53,2,1,50.0,1,50.0,23,161,115,2,3,0,2,1,27,3,0,0,0,1,0,0,4,2,3,0,0,0,5,2,0,100.0
4,Tomás Rincón,ve VEN,88.0,DM,31-080,90,0,0,0,0,2,0,1,0,44,7,6,1,0.0,0.0,0.1,5,0,17,27,63.0,2,17,3,0,0,17,27,63.0,302,140,10,12,83.3,5,9,55.6,2,6,33.3,0,0.1,0.0,3,4,1,0,2,27,26,1,1,0,0,0,0,0,0,0,0,17,0,0,7,3,3,4,0,5,6,83.3,1,1,1,0,6,13,2,0,44,1,11,28,8,0,44,0,0,,0,,17,108,75,3,2,0,1,0,10,1,1,0,0,2,1,0,0,6,3,0,0,0,15,1,1,50.0
5,Soualiho Meïté,fr FRA,23.0,DM,25-017,90,0,0,0,0,1,0,0,0,41,3,1,2,0.1,0.1,0.0,3,1,18,28,64.3,4,19,1,3,2,18,28,64.3,303,112,10,17,58.8,7,8,87.5,1,1,100.0,0,0.0,0.0,0,2,1,0,4,28,28,0,0,0,0,0,0,0,0,0,0,18,0,2,3,1,2,0,1,2,2,100.0,0,2,0,2,1,4,0,0,41,2,6,22,13,2,41,3,2,66.7,1,33.3,19,65,27,1,0,0,3,3,26,2,0,0,0,0,1,0,0,1,1,0,0,0,3,1,2,33.3
6,Cristian Ansaldi,ar ARG,15.0,WB,32-195,90,0,0,0,0,2,0,0,0,53,1,1,3,0.1,0.1,0.1,4,0,25,40,62.5,4,32,5,6,5,25,40,62.5,436,139,14,15,93.3,9,15,60.0,2,7,28.6,0,0.1,0.1,2,2,0,0,4,40,32,8,0,0,1,9,8,0,0,0,0,25,0,3,1,1,1,0,0,0,0,,0,3,0,3,1,2,1,0,53,0,7,15,31,3,53,6,5,83.3,1,16.7,32,207,98,5,2,1,4,2,34,9,0,0,0,1,1,0,9,1,1,0,0,0,1,0,0,
7,Lorenzo De Silvestri,it ITA,29.0,WB,30-315,67,0,1,0,0,2,0,1,0,42,0,3,0,0.2,0.2,0.2,4,1,19,31,61.3,4,17,1,0,0,19,31,61.3,358,233,8,9,88.9,6,14,42.9,4,6,66.7,1,0.2,0.1,3,1,3,1,4,31,22,9,0,0,0,3,9,0,0,0,0,19,0,1,0,0,0,0,0,0,3,0.0,3,0,0,0,3,3,0,0,42,0,6,17,21,3,42,0,0,,0,,17,99,38,1,3,0,1,1,18,3,1,0,0,1,1,0,3,3,0,0,0,0,6,1,0,100.0
8,Vittorio Parigini,it ITA,27.0,WB,23-009,23,0,0,0,0,1,1,0,0,14,3,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,6,0,0,0,7,7,100.0,154,95,1,1,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,7,4,3,0,0,0,1,3,0,0,0,0,7,0,0,3,3,2,1,0,2,2,100.0,0,0,0,0,0,3,1,0,14,1,5,5,4,1,14,0,0,,0,,6,42,17,0,0,0,3,1,6,2,0,0,0,0,1,0,1,0,3,0,0,0,3,0,0,
9,Emiliano Moretti,it ITA,24.0,CB,37-296,81,0,0,0,0,0,0,0,0,32,0,1,1,0.0,0.0,0.0,0,0,20,29,69.0,5,16,1,0,0,20,29,69.0,502,275,3,4,75.0,13,15,86.7,4,9,44.4,0,0.0,0.0,0,6,0,0,5,29,28,1,1,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,32,2,13,20,0,0,32,0,0,,0,,16,72,38,1,0,0,0,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,5,1,1,50.0
