,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Luis Muriel,co COL,20.0,FW,26-301,63,0,0,0,0,1,0,1,0,17,1,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,12,1,2,1,5,7,71.4,70,0,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7,6,1,0,0,0,1,0,0,0,0,0,5,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,17,0,0,7,10,2,17,2,1,50.0,1,50.0,12,57,20,1,0,1,4,0,12,4,1,0,0,1,0,3,1,0,1,0,1,0,0,0,2,0.0
1,Wissam Ben Yedder,fr FRA,9.0,FW,27-183,27,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0,5,6,83.3,51,0,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,7,0,1,2,4,2,7,0,0,,0,,6,16,3,0,0,0,0,0,6,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.0
2,Joaquín Correa,ar ARG,11.0,LW,23-182,90,0,0,0,0,1,0,0,0,49,0,0,0,0.3,0.3,0.0,2,1,31,37,83.8,6,41,2,7,2,31,37,83.8,417,111,17,20,85.0,11,13,84.6,1,1,100.0,0,0.0,0.1,1,0,2,0,6,37,37,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,49,1,9,20,22,8,49,7,2,28.6,5,71.4,41,242,97,2,4,1,3,1,36,10,0,0,0,2,1,1,0,0,0,0,0,0,7,0,3,0.0
3,Pablo Sarabia,es ESP,17.0,RW,25-276,77,1,0,0,0,3,1,0,0,52,1,2,0,1.8,1.8,0.1,3,0,22,40,55.0,2,37,3,0,0,22,40,55.0,366,173,8,10,80.0,10,19,52.6,2,7,28.6,0,0.1,0.1,3,1,1,0,2,40,31,9,2,0,0,9,0,7,4,3,0,22,0,1,1,0,0,1,0,1,1,100.0,0,0,0,0,2,3,1,0,52,1,9,13,30,6,52,0,0,,0,,37,139,74,3,2,1,4,1,30,4,0,0,0,0,1,2,9,2,0,0,0,0,10,0,2,0.0
4,Miguel Layún,mx MEX,3.0,RW,29-231,13,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,1,5,0,0,0,2,4,50.0,29,14,1,1,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,0,2,1,4,0,7,0,0,,0,,5,19,8,0,1,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
5,Franco Vázquez,ar ARG,22.0,AM,28-354,84,0,0,0,0,1,0,0,0,47,1,1,2,0.0,0.0,0.0,1,0,18,35,51.4,4,40,5,5,0,18,35,51.4,269,101,10,13,76.9,5,10,50.0,1,1,100.0,0,0.0,0.0,0,3,2,1,4,35,30,0,0,2,0,1,0,0,0,0,0,18,5,0,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,0,0,47,0,8,26,14,1,47,5,0,0.0,5,100.0,40,197,76,5,1,2,2,3,42,7,0,0,0,3,3,0,1,1,1,0,0,0,4,1,0,100.0
6,Johannes Geis,de GER,12.0,AM,24-178,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,1,2,50.0,56,32,0,0,,0,0,,1,2,50.0,0,0.0,0.0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Guido Pizarro,ar ARG,14.0,DM,27-350,90,0,0,0,0,1,1,1,0,71,2,1,0,0.0,0.0,0.0,1,0,48,60,80.0,6,48,0,1,0,48,60,80.0,778,330,24,30,80.0,21,26,80.8,2,2,100.0,0,0.0,0.0,1,7,0,0,6,60,58,2,2,0,0,0,0,0,0,0,0,48,0,1,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,2,0,71,8,22,39,11,2,71,1,0,0.0,1,100.0,48,210,104,0,0,0,0,1,44,4,1,0,0,3,3,0,0,1,2,0,0,0,7,2,2,50.0
8,Steven Nzonzi,fr FRA,15.0,DM,29-058,90,0,0,0,0,2,0,0,0,90,0,0,0,0.1,0.1,0.0,3,0,71,85,83.5,9,66,0,0,0,71,85,83.5,1098,409,38,43,88.4,26,31,83.9,4,7,57.1,0,0.0,0.0,0,9,0,0,9,85,85,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,90,2,29,48,14,2,90,0,0,,0,,66,189,71,0,0,0,2,0,63,0,0,0,0,1,1,0,0,0,0,0,0,0,11,9,1,90.0
9,Sergio Escudero,es ESP,18.0,LB,28-162,90,0,0,0,0,1,0,0,0,63,0,2,1,0.0,0.0,0.4,2,0,41,52,78.8,5,31,1,2,2,41,52,78.8,811,476,14,16,87.5,20,25,80.0,7,10,70.0,0,0.4,0.2,1,4,1,0,5,52,38,14,2,1,1,1,12,0,0,0,0,41,0,1,0,0,0,0,0,0,0,,0,1,0,1,2,2,5,0,63,3,29,24,11,0,63,2,2,100.0,0,0.0,31,179,103,1,1,0,1,0,28,1,0,0,0,1,4,0,1,2,0,0,0,0,6,1,0,100.0
10,Clément Lenglet,fr FRA,5.0,CB,22-239,90,0,0,0,0,0,0,0,0,42,1,0,1,0.0,0.0,0.3,1,0,30,37,81.1,3,26,0,0,0,30,37,81.1,556,324,14,16,87.5,12,13,92.3,4,8,50.0,0,0.3,0.1,1,2,1,0,3,37,34,3,3,1,0,0,0,0,0,0,0,30,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,1,2,0,42,3,19,21,3,3,42,0,0,,0,,26,68,28,0,0,0,1,0,24,0,0,0,0,1,2,0,0,0,0,0,0,0,5,2,1,66.7
11,Gabriel Mercado,ar ARG,25.0,CB,30-330,90,0,0,0,0,0,0,0,0,57,2,0,2,0.0,0.0,0.0,1,0,33,40,82.5,2,30,0,0,0,33,40,82.5,548,213,17,18,94.4,12,13,92.3,3,8,37.5,0,0.0,0.0,0,4,0,0,2,40,35,5,5,0,2,0,0,0,0,0,0,33,0,0,2,2,2,0,0,2,3,66.7,1,2,2,0,0,2,12,0,57,13,34,23,0,0,57,0,0,,0,,30,110,62,0,0,0,2,0,27,0,0,0,0,1,2,0,0,0,2,0,0,0,4,5,3,62.5
12,Jesús Navas,es ESP,16.0,RB,32-082,90,0,0,0,0,1,0,0,0,59,3,1,0,0.0,0.0,0.1,3,0,35,48,72.9,4,34,3,0,0,35,48,72.9,473,193,24,26,92.3,9,13,69.2,2,6,33.3,0,0.1,0.0,2,3,0,0,4,48,39,8,0,0,0,1,8,0,0,0,0,35,1,0,3,2,2,0,1,3,4,75.0,1,0,0,0,1,4,4,0,59,3,25,18,17,3,59,0,0,,0,,34,124,80,3,1,2,2,0,28,6,0,0,0,0,1,0,1,1,2,0,0,0,7,0,1,0.0
