,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Duván Zapata,co COL,91.0,FW,29-122,90,0,0,0,0,3,0,0,0,32,0,0,1,0.4,0.4,0.0,2,0,17,22,77.3,2,25,1,1,1,17,22,77.3,210,25,13,15,86.7,3,5,60.0,0,0,,0,0.0,0.0,0,0,0,0,2,22,18,4,0,0,0,3,1,0,0,0,0,17,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,32,0,0,14,18,5,32,1,1,100.0,0,0.0,25,80,9,1,0,0,6,2,25,12,0,0,0,2,1,1,3,0,0,0,0,0,1,1,4,20.0
1,Mario Pašalić,hr CRO,88.0,AM,25-174,60,0,0,0,0,1,0,0,0,41,0,0,1,0.1,0.1,0.0,0,0,25,33,75.8,5,34,2,3,0,25,33,75.8,378,42,14,18,77.8,9,12,75.0,1,1,100.0,0,0.0,0.0,0,2,0,0,5,33,32,0,0,0,0,1,0,0,0,0,0,25,1,0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,41,1,5,23,13,2,41,3,0,0.0,3,100.0,34,178,71,2,1,0,1,0,36,7,0,0,0,0,1,0,1,0,0,0,0,0,4,1,2,33.3
2,Luis Muriel,co COL,9.0,AM,29-107,30,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.7,4,0,9,15,60.0,1,12,2,1,1,9,15,60.0,126,61,5,8,62.5,3,5,60.0,1,1,100.0,0,0.7,0.2,4,0,2,1,1,15,14,1,0,1,0,3,0,1,1,0,0,9,0,1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,18,0,1,5,12,3,18,1,1,100.0,0,0.0,12,94,47,2,0,2,0,0,11,6,0,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0.0
3,Papu Gómez,ar ARG,10.0,AM,32-168,89,0,0,0,0,2,1,0,0,61,0,1,1,0.1,0.1,0.1,3,0,39,52,75.0,6,50,6,2,1,39,52,75.0,705,249,17,19,89.5,16,23,69.6,5,7,71.4,0,0.1,0.1,1,4,1,0,6,52,47,5,1,0,0,7,1,3,1,2,0,39,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,61,0,3,33,26,0,61,2,1,50.0,1,50.0,50,310,144,6,1,0,2,1,49,10,0,0,0,0,3,0,7,1,0,0,0,0,0,0,1,0.0
4,Jacopo Da Riva,it ITA,20.0,AM,19-279,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,0,0,0,2,2,100.0,22,8,2,2,100.0,0,0,,0,0,,0,0.0,0.0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Remo Freuler,ch SUI,11.0,CM,28-108,60,0,0,0,0,1,0,0,0,67,1,1,0,0.0,0.0,0.0,2,0,58,62,93.5,7,57,0,0,0,58,62,93.5,1077,315,18,21,85.7,31,32,96.9,6,6,100.0,0,0.0,0.1,1,7,1,0,7,62,59,3,3,0,2,0,0,0,0,0,0,58,0,0,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,67,2,14,43,10,0,67,0,0,,0,,57,170,45,0,1,0,0,1,57,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,100.0
6,Ruslan Malinovskyi,ua UKR,18.0,CM,27-089,30,0,0,0,0,4,0,0,0,33,0,1,0,0.2,0.2,0.1,7,0,24,29,82.8,4,30,1,4,4,24,29,82.8,470,130,7,9,77.8,13,13,100.0,3,6,50.0,0,0.1,0.1,1,2,2,0,4,29,26,3,0,0,0,4,0,3,1,1,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,33,0,1,15,19,1,33,4,4,100.0,0,0.0,30,161,88,1,3,1,0,1,28,2,0,0,0,1,1,0,4,1,0,0,0,0,3,0,0,
7,Marten de Roon,nl NED,15.0,CM,29-125,90,0,0,0,0,0,0,0,0,92,10,3,2,0.0,0.0,0.0,1,0,63,75,84.0,7,66,0,0,0,63,75,84.0,1142,349,26,29,89.7,30,31,96.8,7,12,58.3,0,0.0,0.1,0,7,1,0,7,75,72,3,2,0,0,1,1,0,0,0,0,63,0,3,10,4,4,5,1,6,10,60.0,4,2,0,2,3,13,1,0,92,5,22,57,13,0,92,0,0,,0,,66,229,73,0,0,0,0,1,63,1,0,0,0,3,1,0,1,3,4,0,0,0,7,0,0,
8,Robin Gosens,de GER,8.0,WB,26-027,90,0,0,0,0,1,0,0,0,63,1,0,2,0.4,0.4,0.3,6,0,44,52,84.6,7,40,0,1,0,44,52,84.6,783,280,19,20,95.0,20,24,83.3,5,6,83.3,0,0.3,0.3,4,6,3,2,7,52,50,2,0,0,0,4,2,0,0,0,0,44,0,3,1,1,0,1,0,0,2,0.0,2,2,1,1,0,1,2,0,63,4,18,24,21,6,63,1,0,0.0,1,100.0,40,101,29,0,0,0,3,1,42,7,0,0,0,2,1,1,4,0,1,0,0,0,9,0,0,
9,Timothy Castagne,be BEL,21.0,WB,24-240,60,0,0,0,0,0,0,0,0,46,0,0,4,0.0,0.0,0.0,0,0,34,39,87.2,1,31,4,1,0,34,39,87.2,523,146,19,20,95.0,14,16,87.5,1,3,33.3,0,0.0,0.0,0,2,0,0,1,39,35,4,0,0,0,1,4,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0.0,1,4,2,2,0,0,0,0,46,3,12,24,10,0,46,1,0,0.0,1,100.0,31,158,75,4,1,0,1,0,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
