,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jorge Molina,es ESP,23.0,FW,39-031,69,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,2,0,10,22,45.5,5,6,0,0,0,10,22,45.5,197,126,3,9,33.3,4,7,57.1,2,4,50.0,0,0.0,0.0,0,5,0,0,5,22,21,1,0,0,1,0,0,0,0,0,0,10,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,26,2,3,17,6,0,26,0,0,,0,,6,11,8,0,0,0,1,0,18,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,71.4
1,Roberto Soldado,es ESP,9.0,FW,35-361,21,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,7,0,0,0,1,3,33.3,10,0,1,2,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,2,6,3,8,0,0,,0,,7,11,0,0,0,0,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Luis Javier Suárez,co COL,7.0,"LM,RM",23-172,75,0,0,0,0,2,1,0,0,22,2,0,1,0.1,0.1,0.0,2,0,5,10,50.0,3,14,1,1,0,5,10,50.0,105,35,3,6,50.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,1,0,0,3,10,10,0,0,0,1,1,0,0,0,0,0,5,0,0,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0,22,0,3,7,12,3,22,1,0,0.0,1,100.0,14,60,20,1,0,1,4,2,17,6,0,0,0,1,4,0,1,0,1,0,0,0,1,0,1,0.0
3,Adrián Marín,es ESP,18.0,LB,24-134,15,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,0,0,4,10,40.0,0,3,0,0,0,4,10,40.0,71,68,2,3,66.7,1,3,33.3,1,3,33.3,0,0.0,0.0,0,0,0,0,0,10,5,5,0,0,0,0,5,0,0,0,0,4,0,1,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,12,0,0,7,5,0,12,0,0,,0,,3,14,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
4,Fede Vico,es ESP,14.0,CM,26-323,89,0,0,0,0,0,0,0,0,59,2,3,3,0.0,0.0,0.1,2,0,27,44,61.4,5,20,4,5,2,27,44,61.4,425,172,17,20,85.0,4,9,44.4,5,13,38.5,0,0.1,0.1,2,5,0,0,5,44,33,11,7,0,0,9,0,4,2,2,0,27,0,1,2,0,1,1,0,1,1,100.0,0,3,0,3,3,5,1,0,59,2,15,32,17,1,59,5,2,40.0,3,60.0,20,136,69,4,1,1,4,0,17,1,0,0,0,0,0,0,9,3,0,0,0,0,13,0,0,
5,Juan Brunet,ar ARG,36.0,CM,23-119,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,2,2,100.0,16,9,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
6,Yan Brice Eteki,cm CMR,8.0,CM,23-270,90,0,0,0,0,1,0,1,0,20,1,0,1,0.0,0.0,0.0,2,0,11,14,78.6,0,12,0,1,0,11,14,78.6,222,64,2,2,100.0,8,9,88.9,1,3,33.3,0,0.0,0.0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,20,1,3,15,2,0,20,1,0,0.0,1,100.0,12,33,4,0,0,0,1,0,10,0,1,0,0,1,3,0,0,0,1,0,0,0,7,1,1,50.0
7,Alberto Soro,es ESP,26.0,RM,22-075,45,0,0,0,0,1,0,1,0,10,0,0,1,0.0,0.0,0.0,1,0,5,6,83.3,0,6,1,0,0,5,6,83.3,76,9,2,2,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,10,1,4,3,3,1,10,0,0,,0,,6,47,24,1,1,1,0,1,6,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0.0
8,Víctor Díaz,es ESP,16.0,CB,32-345,45,0,0,0,0,0,0,1,0,17,1,0,3,0.0,0.0,0.0,0,0,12,12,100.0,1,2,0,0,0,12,12,100.0,198,97,7,7,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1,12,11,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,0,1,0,0,0,,0,3,2,1,0,1,1,0,17,4,11,6,0,0,17,0,0,,0,,2,15,12,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
9,Antonio Puertas,es ESP,10.0,"LB,RM",29-091,90,0,0,0,0,1,0,0,0,46,0,1,3,0.0,0.0,0.0,1,0,20,32,62.5,1,16,1,4,2,20,32,62.5,243,112,13,14,92.9,5,8,62.5,0,7,0.0,0,0.0,0.0,0,0,1,0,1,32,26,6,0,0,0,1,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,3,1,2,1,1,3,0,46,5,16,22,9,0,46,4,2,50.0,2,50.0,16,64,32,1,0,0,3,2,21,3,0,0,0,0,3,0,1,1,0,0,0,0,5,1,3,25.0
