,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Alexandre Lacazette,fr FRA,9.0,FW,26-112,65,0,0,0,0,2,1,0,0,22,0,0,1,0.8,0.8,0.0,1,0,8,15,53.3,0,11,0,1,0,8,15,53.3,69,10,6,12,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,2,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,22,0,0,7,15,3,22,1,0,0.0,1,100.0,11,47,10,0,1,0,2,1,17,3,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,66.7
1,Alexis Sánchez,cl CHI,7.0,"AM,FW",28-272,25,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,1,0,10,15,66.7,0,14,0,1,0,10,15,66.7,201,19,5,6,83.3,2,4,50.0,3,4,75.0,0,0.1,0.0,1,1,0,0,0,15,15,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,20,1,2,6,12,1,20,1,0,0.0,1,100.0,14,66,27,0,0,0,1,0,18,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0
2,Danny Welbeck,eng ENG,23.0,AM,26-295,72,0,0,0,0,3,0,0,0,33,0,2,0,0.4,0.4,0.0,2,0,17,22,77.3,1,19,1,1,1,17,22,77.3,178,33,15,15,100.0,1,4,25.0,0,0,,0,0.0,0.0,0,0,1,0,1,22,22,0,0,1,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,33,1,2,16,15,2,33,1,1,100.0,0,0.0,19,96,43,1,1,0,0,1,23,3,0,0,0,1,1,1,0,2,0,0,0,0,2,3,7,30.0
3,Olivier Giroud,fr FRA,12.0,FW,30-352,18,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,0,4,6,66.7,46,0,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0,8,1,2,3,3,0,8,0,0,,0,,3,2,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
4,Alex Iwobi,ng NGA,17.0,AM,21-137,79,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.3,3,0,33,36,91.7,6,28,2,0,0,33,36,91.7,428,93,19,19,100.0,12,15,80.0,0,0,,0,0.3,0.1,3,0,0,0,6,36,34,2,1,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,41,0,0,23,18,0,41,0,0,,0,,28,127,71,2,2,0,4,2,38,4,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,
5,Mohamed Elneny,eg EGY,35.0,CM,25-068,11,0,0,0,0,0,0,1,0,10,0,1,0,0.0,0.0,0.0,0,0,8,9,88.9,2,5,0,0,0,8,9,88.9,133,48,6,7,85.7,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,10,0,2,5,3,0,10,0,0,,0,,5,12,3,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,
6,Granit Xhaka,ch SUI,29.0,CM,24-355,90,0,0,0,0,1,0,0,0,89,4,2,2,0.0,0.0,0.0,1,0,56,75,74.7,7,48,0,0,0,56,75,74.7,1076,293,13,19,68.4,34,40,85.0,7,12,58.3,0,0.0,0.0,1,2,0,0,7,75,72,2,1,0,2,1,0,1,0,1,0,56,1,1,4,2,2,2,0,1,3,33.3,2,2,1,1,2,6,2,0,89,2,17,59,15,0,89,0,0,,0,,48,193,91,0,1,0,2,0,59,0,0,0,0,2,2,0,1,2,2,0,0,0,9,0,0,
7,Aaron Ramsey,wls WAL,8.0,"CM,AM",26-265,90,0,0,0,0,2,0,0,0,64,3,3,2,0.2,0.2,0.0,5,0,42,53,79.2,3,46,3,4,4,42,53,79.2,659,182,20,25,80.0,17,20,85.0,4,5,80.0,0,0.0,0.1,0,3,2,0,3,53,52,1,1,0,0,2,0,0,0,0,0,42,0,1,3,3,1,2,0,2,5,40.0,3,2,2,0,3,6,0,0,64,0,8,38,18,1,64,4,4,100.0,0,0.0,46,292,127,3,5,1,1,3,51,5,0,0,0,1,2,0,2,3,3,0,0,0,4,0,1,0.0
8,Sead Kolašinac,ba BIH,31.0,WB,24-089,90,0,0,0,0,1,1,1,0,75,4,2,2,0.0,0.0,0.0,0,0,45,59,76.3,3,45,2,1,0,45,59,76.3,642,221,25,31,80.6,19,24,79.2,0,2,0.0,0,0.0,0.0,0,3,0,0,3,59,53,6,1,0,0,1,5,0,0,0,0,45,0,2,4,4,3,0,1,2,2,100.0,0,2,1,1,2,6,2,0,75,2,26,29,20,1,75,1,0,0.0,1,100.0,45,139,80,2,4,0,4,1,50,6,1,0,0,4,1,0,1,2,4,0,0,0,9,2,0,100.0
9,Héctor Bellerín,es ESP,24.0,WB,22-182,90,0,0,0,0,0,0,1,0,69,1,0,2,0.0,0.0,0.4,3,0,51,62,82.3,1,33,1,0,0,51,62,82.3,633,226,37,38,97.4,11,14,78.6,0,2,0.0,0,0.4,0.2,2,0,1,1,1,62,51,11,1,0,0,2,10,0,0,0,0,51,0,4,1,1,1,0,0,0,0,,0,2,0,2,0,1,4,0,69,3,23,24,22,1,69,0,0,,0,,33,153,77,1,2,0,1,0,44,6,1,0,0,2,0,0,2,0,1,0,0,0,7,1,1,50.0
10,Nacho Monreal,es ESP,18.0,CB,31-203,90,0,0,0,0,1,0,0,0,72,3,4,2,0.1,0.1,0.0,2,0,50,57,87.7,5,40,2,0,0,50,57,87.7,710,268,31,32,96.9,17,20,85.0,1,4,25.0,0,0.0,0.0,1,5,1,0,5,57,56,1,1,0,0,0,0,0,0,0,0,50,0,0,3,2,2,1,0,1,2,50.0,1,2,0,2,4,7,4,0,72,1,28,40,5,1,72,0,0,,0,,40,219,155,2,2,0,0,0,44,0,0,0,0,1,1,0,0,4,2,0,0,0,6,3,1,75.0
11,Shkodran Mustafi,de GER,20.0,CB,25-153,90,0,0,0,0,0,0,0,0,57,2,2,0,0.0,0.0,0.0,1,0,34,43,79.1,2,23,0,0,0,34,43,79.1,753,338,5,5,100.0,23,25,92.0,4,10,40.0,0,0.0,0.0,0,1,0,0,2,43,41,2,2,0,1,0,0,0,0,0,0,34,0,1,2,2,1,1,0,2,5,40.0,3,0,0,0,2,4,8,0,57,8,31,26,0,0,57,0,0,,0,,23,132,37,0,0,0,1,2,28,0,0,0,0,1,1,1,0,2,2,0,0,0,7,4,2,66.7
12,Laurent Koscielny,fr FRA,6.0,CB,32-007,90,0,0,0,0,1,0,0,0,75,2,3,2,0.0,0.0,0.0,0,0,50,63,79.4,3,37,0,1,1,50,63,79.4,1012,453,20,22,90.9,22,31,71.0,8,9,88.9,0,0.0,0.0,0,6,0,0,3,63,61,1,1,0,3,0,0,0,0,0,0,50,1,0,2,1,1,1,0,1,1,100.0,0,2,2,0,3,5,3,0,75,4,34,38,3,0,75,1,1,100.0,0,0.0,37,143,87,0,1,0,1,0,37,0,0,0,0,0,2,0,0,3,1,0,0,0,6,4,1,80.0
