,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Christian Benteke,be BEL,17.0,FW,27-092,90,0,1,0,0,3,1,0,0,46,3,0,1,0.2,0.2,0.1,2,2,16,22,72.7,0,19,1,1,0,16,22,72.7,206,12,10,15,66.7,6,6,100.0,0,1,0.0,1,0.1,0.1,1,0,0,0,0,22,20,2,0,0,0,0,0,0,0,0,0,16,0,0,3,1,2,1,0,0,3,0.0,3,1,1,0,0,3,5,0,46,6,9,20,17,5,46,1,0,0.0,1,100.0,19,99,48,1,2,0,5,1,29,7,0,0,0,2,3,0,0,0,1,0,0,0,4,10,7,58.8
1,Alexander Sørloth,no NOR,9.0,"FW,LM",22-090,90,0,0,0,0,2,1,0,0,43,0,0,0,0.1,0.1,0.1,4,0,16,32,50.0,1,29,4,4,4,16,32,50.0,223,46,8,13,61.5,7,13,53.8,0,2,0.0,0,0.1,0.1,2,0,0,0,1,32,32,0,0,0,1,2,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,43,2,8,17,20,4,43,4,4,100.0,0,0.0,29,195,123,4,5,1,4,2,29,6,0,0,0,2,0,2,2,0,0,0,0,0,3,5,7,41.7
2,Jeffrey Schlupp,gh GHA,15.0,LM,25-072,79,0,1,0,0,0,0,0,0,33,2,1,3,0.0,0.0,0.1,3,1,16,23,69.6,2,24,3,2,2,16,23,69.6,251,109,8,11,72.7,8,10,80.0,0,0,,1,0.1,0.0,1,0,1,0,2,23,22,1,1,0,0,1,0,0,0,0,0,16,0,1,2,1,0,2,0,0,0,,0,3,0,3,1,3,0,0,33,0,4,20,10,1,33,2,2,100.0,0,0.0,24,129,78,3,1,1,1,2,15,1,0,0,0,0,1,0,1,1,1,0,0,0,10,0,1,0.0
3,Jaïro Riedewald,nl NED,44.0,CM,21-177,11,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,5,0,0,0,4,7,57.1,56,30,3,4,75.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,1,1,1,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,9,1,3,5,1,0,9,0,0,,0,,5,7,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
4,James McArthur,sct SCO,18.0,CM,30-149,90,0,0,0,0,0,0,0,0,47,1,2,1,0.0,0.0,0.0,0,0,27,34,79.4,3,29,0,3,3,27,34,79.4,408,134,19,20,95.0,6,8,75.0,2,5,40.0,0,0.0,0.0,0,3,0,0,3,34,32,2,0,0,0,0,0,0,0,0,0,27,0,1,1,1,1,0,0,0,2,0.0,2,1,1,0,2,3,4,0,47,4,14,26,7,2,47,3,3,100.0,0,0.0,29,103,31,0,0,0,2,1,23,1,0,0,0,1,1,0,0,2,1,0,0,0,13,2,0,100.0
5,Luka Milivojević,rs SRB,4.0,"CM,DM",26-332,90,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.0,2,1,34,45,75.6,4,25,0,1,1,34,45,75.6,609,200,17,17,100.0,12,18,66.7,5,10,50.0,0,0.0,0.0,0,3,0,0,4,45,41,4,3,0,0,3,0,1,1,0,0,34,0,0,2,2,2,0,0,1,3,33.3,2,1,1,0,1,3,1,0,49,2,7,28,14,0,49,1,1,100.0,0,0.0,25,85,39,0,0,0,0,1,24,1,0,0,0,2,1,0,3,1,2,0,0,0,7,0,1,0.0
6,Andros Townsend,eng ENG,10.0,RM,26-232,90,1,0,0,0,3,1,1,0,55,5,3,2,0.2,0.2,0.1,5,0,21,31,67.7,3,28,6,6,5,21,31,67.7,325,119,14,16,87.5,5,9,55.6,2,4,50.0,0,0.1,0.3,1,3,1,1,3,31,28,3,1,0,0,9,0,2,2,0,0,21,0,1,5,2,5,0,0,2,6,33.3,4,2,0,2,3,8,2,0,55,2,14,17,27,2,55,6,5,83.3,1,16.7,28,306,141,6,2,1,6,0,25,4,1,0,0,0,0,0,9,3,2,0,0,0,7,0,0,
7,Patrick van Aanholt,nl NED,3.0,LB,27-188,90,1,0,0,0,1,1,0,0,44,1,2,2,0.1,0.1,0.1,1,0,23,35,65.7,3,26,1,0,0,23,35,65.7,320,218,12,16,75.0,9,12,75.0,1,3,33.3,0,0.1,0.1,1,3,1,0,3,35,27,7,0,0,0,0,7,0,0,0,0,23,1,1,1,1,1,0,0,0,1,0.0,1,2,0,2,2,3,3,0,44,4,19,14,11,2,44,0,0,,0,,26,138,73,1,1,1,1,0,18,1,0,0,0,1,1,0,0,2,1,0,0,0,7,0,0,
8,James Tomkins,eng ENG,5.0,CB,28-341,90,0,0,0,0,1,0,0,0,32,0,4,0,0.1,0.1,0.0,0,0,9,16,56.3,1,10,0,0,0,9,16,56.3,181,97,2,2,100.0,6,9,66.7,1,5,20.0,0,0.0,0.0,0,1,0,0,1,16,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,4,4,12,1,32,8,20,11,1,1,32,0,0,,0,,10,24,5,0,0,0,0,0,5,0,0,0,0,1,1,0,0,4,0,0,0,0,5,4,0,100.0
9,Martin Kelly,eng ENG,34.0,CB,27-312,90,0,0,0,0,0,0,0,0,23,1,1,2,0.0,0.0,0.0,1,0,6,16,37.5,1,11,0,0,0,6,16,37.5,128,83,2,4,50.0,3,5,60.0,1,6,16.7,0,0.0,0.0,1,0,0,0,1,16,16,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,1,0,0,0,1,0.0,1,2,2,0,1,2,4,0,23,6,17,6,0,0,23,0,0,,0,,11,54,41,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,4,20.0
