,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Gonzalo Higuaín,ar ARG,9.0,FW,30-007,90,0,0,0,0,4,2,1,0,49,0,0,0,0.2,0.2,0.1,5,2,33,36,91.7,4,34,4,5,1,33,36,91.7,530,109,16,17,94.1,11,12,91.7,3,3,100.0,0,0.1,0.2,1,3,1,0,4,36,35,1,0,1,0,1,0,0,0,0,0,33,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,49,2,4,27,19,4,49,5,1,20.0,4,80.0,34,241,90,4,1,1,3,3,40,7,1,0,0,0,0,1,1,0,0,0,0,0,4,0,1,0.0
1,Mario Mandžukić,hr CRO,17.0,LW,31-210,75,1,0,0,0,1,1,0,0,53,2,1,2,0.1,0.1,0.0,3,1,35,47,74.5,8,21,2,2,2,35,47,74.5,600,98,15,20,75.0,14,15,93.3,4,5,80.0,0,0.0,0.1,0,1,1,0,8,47,42,4,1,1,0,0,3,0,0,0,0,35,1,2,2,2,2,0,0,0,3,0.0,3,2,0,2,1,3,0,0,53,0,4,27,22,4,53,2,2,100.0,0,0.0,21,127,85,2,2,0,0,2,38,12,0,0,0,1,3,0,0,1,2,0,0,0,2,4,1,80.0
2,Paulo Dybala,ar ARG,10.0,"LW,FW",24-032,15,0,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.1,1,0,8,10,80.0,2,11,2,1,1,8,10,80.0,155,45,3,3,100.0,3,3,100.0,2,3,66.7,0,0.1,0.0,1,2,0,0,2,10,8,2,0,0,0,1,0,2,0,0,1,8,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,3,6,6,3,15,1,1,100.0,0,0.0,11,69,57,2,1,1,1,2,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
3,Douglas Costa,br BRA,11.0,RW,27-094,69,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.1,1,0,26,39,66.7,3,36,9,11,9,26,39,66.7,359,119,10,12,83.3,9,14,64.3,2,5,40.0,0,0.1,0.1,1,1,3,0,3,39,38,1,0,0,0,4,0,1,0,1,0,26,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,48,0,2,15,33,2,48,11,9,81.8,2,18.2,36,345,199,9,7,1,0,6,39,8,0,0,0,0,2,0,4,0,1,0,0,0,4,0,1,0.0
4,Federico Bernardeschi,it ITA,33.0,"RW,RM",23-304,21,0,0,0,0,0,0,0,0,12,2,1,1,0.0,0.0,0.0,0,0,7,8,87.5,1,7,1,0,0,7,8,87.5,94,31,6,6,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1,2,1,2,0,0,0,0,,0,1,0,1,1,3,1,0,12,2,5,5,2,1,12,0,0,,0,,7,19,8,1,0,1,0,1,7,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,
5,Blaise Matuidi,fr FRA,14.0,LM,30-252,90,1,0,0,0,1,1,0,0,71,6,1,1,0.0,0.0,0.0,0,0,47,58,81.0,9,45,1,2,1,47,58,81.0,699,182,18,20,90.0,26,29,89.7,0,2,0.0,0,0.0,0.1,0,6,1,0,9,58,57,0,0,0,0,2,0,0,0,0,0,47,1,2,6,4,4,2,0,2,3,66.7,1,1,0,1,1,7,2,0,71,0,7,46,19,3,71,2,1,50.0,1,50.0,45,252,93,1,3,0,1,0,52,7,0,0,0,1,0,0,2,1,4,0,0,0,4,0,1,0.0
6,Miralem Pjanić,ba BIH,5.0,CM,27-259,85,1,1,0,0,2,1,0,0,97,1,0,1,0.1,0.1,0.1,3,1,74,90,82.2,13,52,0,1,1,74,90,82.2,1331,411,30,33,90.9,30,36,83.3,11,16,68.8,1,0.1,0.1,3,9,2,1,13,90,83,6,2,0,0,6,0,4,2,2,0,74,1,0,1,0,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0,97,0,8,69,20,0,97,1,1,100.0,0,0.0,52,198,103,0,0,0,1,2,71,2,0,0,0,1,0,0,6,0,0,0,0,0,12,0,1,0.0
7,Claudio Marchisio,it ITA,8.0,CM,31-332,5,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,1,1,4,5,80.0,45,15,4,4,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,7,0,5,2,0,0,7,1,1,100.0,0,0.0,4,16,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,
8,Sami Khedira,de GER,6.0,"RM,CM",30-257,90,0,0,0,0,1,1,0,0,69,1,1,1,0.1,0.1,0.0,1,0,51,61,83.6,3,41,1,0,0,51,61,83.6,751,149,32,35,91.4,15,17,88.2,3,4,75.0,0,0.0,0.1,1,1,0,0,3,61,59,2,1,0,0,2,1,0,0,0,0,51,0,3,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,69,0,14,36,19,3,69,0,0,,0,,41,202,71,1,1,0,2,1,56,4,0,0,0,0,0,1,2,1,0,0,0,0,5,0,0,
9,Alex Sandro,br BRA,12.0,LB,26-325,90,0,0,0,0,1,0,0,0,80,4,1,0,0.1,0.1,0.0,4,1,48,64,75.0,5,43,3,3,1,48,64,75.0,907,314,14,18,77.8,29,34,85.3,4,5,80.0,0,0.0,0.0,1,5,2,1,5,64,55,9,2,0,0,9,7,0,0,0,0,48,0,5,4,3,2,2,0,0,1,0.0,1,0,0,0,1,5,1,0,80,1,20,35,25,5,80,3,1,33.3,2,66.7,43,203,90,3,2,2,1,2,51,12,0,0,0,3,2,2,9,1,3,0,0,0,3,2,0,100.0
