,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Roberto Firmino,br BRA,9.0,FW,29-124,78,0,0,0,0,3,0,0,0,51,1,2,2,0.2,0.2,0.0,3,0,29,38,76.3,1,31,3,1,1,29,38,76.3,332,91,20,21,95.2,5,8,62.5,1,2,50.0,0,0.0,0.0,0,2,0,0,1,38,36,2,0,0,0,0,2,0,0,0,0,29,0,2,1,0,0,1,0,0,1,0.0,1,2,0,2,2,3,0,0,51,0,3,29,19,5,51,1,1,100.0,0,0.0,31,165,118,3,0,1,4,1,35,5,0,0,0,0,0,0,0,2,0,0,0,0,8,0,2,0.0
1,Curtis Jones,eng ENG,17.0,FW,20-004,12,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,8,1,1,1,8,8,100.0,101,13,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,3,6,1,9,1,1,100.0,0,0.0,8,39,14,1,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2,Xherdan Shaqiri,ch SUI,23.0,LW,29-116,63,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.1,2,0,27,31,87.1,2,21,0,0,0,27,31,87.1,309,37,17,19,89.5,5,5,100.0,1,1,100.0,0,0.1,0.1,2,2,0,0,2,31,31,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,35,0,1,16,18,1,35,0,0,,0,,21,48,7,0,2,0,3,1,31,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0.0
3,Divock Origi,be BEL,27.0,LW,25-291,27,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,1,0,3,5,60.0,0,3,0,0,0,3,5,60.0,21,2,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,7,1,1,1,5,1,7,0,0,,0,,3,12,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Mohamed Salah,eg EGY,11.0,RW,28-233,90,0,0,0,0,4,0,0,0,55,0,0,1,0.7,0.7,0.0,2,0,33,39,84.6,3,38,4,0,0,33,39,84.6,388,83,25,28,89.3,5,6,83.3,1,2,50.0,0,0.0,0.1,0,3,4,2,3,39,38,1,0,0,0,3,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,55,0,1,15,39,5,55,0,0,,0,,38,167,85,4,1,0,6,3,44,16,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0.0
5,James Milner,eng ENG,7.0,LM,35-030,90,0,0,0,0,1,0,0,0,90,2,0,1,0.0,0.0,0.0,3,0,70,81,86.4,7,58,1,0,0,70,81,86.4,965,219,44,49,89.8,24,24,100.0,2,7,28.6,0,0.0,0.1,0,6,0,0,7,81,79,2,0,0,0,1,1,0,0,0,0,70,0,0,2,1,1,0,1,1,2,50.0,1,1,0,1,0,2,2,0,90,2,19,42,29,0,90,0,0,,0,,58,246,129,1,4,0,1,1,66,1,0,0,0,1,1,0,1,0,1,0,0,0,7,2,0,100.0
6,Georginio Wijnaldum,nl NED,5.0,CM,30-084,63,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,1,29,1,0,0,25,29,86.2,379,74,15,15,100.0,9,12,75.0,1,1,100.0,0,0.0,0.0,0,3,0,0,1,29,29,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,0,5,23,7,0,34,0,0,,0,,29,161,59,1,0,0,2,3,28,0,1,0,0,3,0,0,1,0,0,0,0,0,3,2,2,50.0
7,Alex Oxlade-Chamberlain,eng ENG,15.0,RM,27-172,27,0,0,0,0,2,1,0,0,23,0,0,0,0.1,0.1,0.0,0,0,10,14,71.4,1,14,1,2,0,10,14,71.4,158,41,7,7,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,2,0,0,1,14,14,0,0,0,0,1,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,1,1,7,15,1,23,2,0,0.0,2,100.0,14,60,36,1,0,0,1,0,16,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
8,Thiago Alcántara,es ESP,6.0,"RM,CM",29-298,90,0,0,0,0,0,0,0,0,100,7,1,0,0.0,0.0,0.0,5,0,81,92,88.0,10,66,1,0,0,81,92,88.0,1334,302,42,42,100.0,26,33,78.8,10,12,83.3,0,0.0,0.1,0,11,0,0,10,92,91,1,1,0,0,2,0,0,0,0,0,81,0,1,7,6,2,5,0,3,4,75.0,1,0,0,0,1,8,1,0,100,2,16,55,31,0,100,0,0,,0,,66,366,158,1,6,0,0,0,78,0,0,0,0,3,0,0,2,1,6,0,0,0,9,0,3,0.0
9,Andrew Robertson,sct SCO,26.0,LB,26-329,90,0,0,0,0,0,0,0,0,103,1,1,2,0.0,0.0,0.0,1,0,77,95,81.1,2,71,1,2,1,77,95,81.1,913,282,55,61,90.2,17,23,73.9,2,6,33.3,0,0.0,0.1,0,5,0,0,2,95,80,15,2,0,0,5,11,2,0,1,0,77,0,1,1,1,1,0,0,0,0,,0,2,1,1,1,2,1,0,103,2,19,44,42,4,103,2,1,50.0,1,50.0,71,300,193,1,3,0,1,0,72,5,0,0,0,1,0,0,5,1,1,0,0,0,5,0,0,
