,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Sven Schipplock,de GER,19.0,FW,29-122,90,0,0,0,0,0,0,0,0,26,0,1,1,0.0,0.0,0.0,0,0,12,22,54.5,0,6,0,1,0,12,22,54.5,132,28,11,15,73.3,1,4,25.0,0,1,0.0,0,0.0,0.0,0,2,0,0,0,22,17,5,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,26,0,3,18,5,1,26,1,0,0.0,1,100.0,6,24,13,0,0,0,0,0,15,3,0,0,0,1,0,0,0,1,0,0,0,0,2,6,8,42.9
1,Filip Kostić,rs SRB,17.0,AM,25-129,90,0,0,0,0,0,0,0,0,25,3,0,0,0.0,0.0,0.0,0,0,13,20,65.0,3,13,1,4,3,13,20,65.0,209,62,9,10,90.0,3,7,42.9,1,2,50.0,0,0.0,0.0,0,2,0,0,3,20,20,0,0,0,1,2,0,0,0,0,0,13,0,1,3,0,2,1,0,3,5,60.0,2,0,0,0,0,3,0,0,25,2,3,13,9,1,25,4,3,75.0,1,25.0,13,44,7,1,0,1,1,0,16,4,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,
2,Aaron Hunt,de GER,14.0,AM,31-187,86,0,0,0,0,0,0,0,0,27,2,0,0,0.0,0.0,0.0,0,0,13,20,65.0,2,10,2,2,0,13,20,65.0,146,25,8,12,66.7,4,4,100.0,0,2,0.0,0,0.0,0.0,0,1,1,0,2,20,17,3,1,0,0,2,0,1,1,0,0,13,0,2,2,2,1,1,0,0,0,,0,0,0,0,0,2,1,0,27,0,5,12,10,1,27,2,0,0.0,2,100.0,10,68,27,2,1,0,1,2,16,5,0,0,0,0,1,0,2,0,2,0,0,0,2,0,0,
3,Bakery Jatta,gm GAM,18.0,AM,19-277,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Walace,br BRA,12.0,CM,22-340,69,0,0,0,0,0,0,0,0,34,1,0,3,0.0,0.0,0.0,1,0,20,26,76.9,2,21,2,1,0,20,26,76.9,307,68,10,13,76.9,7,8,87.5,1,2,50.0,0,0.0,0.0,0,3,0,0,2,26,26,0,0,0,0,0,0,0,0,0,0,20,0,1,1,1,0,0,1,0,0,,0,3,0,3,0,1,1,0,34,3,10,22,3,0,34,1,0,0.0,1,100.0,21,115,79,2,1,0,0,1,24,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0.0
5,Josha Vagnoman,de GER,47.0,CM,17-089,21,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,2,3,66.7,26,21,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,3,1,2,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,4,0,0,,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
6,Gideon Jung,de GER,28.0,"CB,CM",23-179,90,0,0,0,0,0,0,0,0,34,4,0,1,0.0,0.0,0.0,0,0,11,20,55.0,2,10,0,0,0,11,20,55.0,167,58,4,5,80.0,6,12,50.0,0,2,0.0,0,0.0,0.0,0,1,0,0,2,20,20,0,0,0,0,1,0,0,0,0,0,11,0,1,4,3,3,1,0,3,3,100.0,0,1,0,1,0,4,6,0,34,10,16,16,2,0,34,0,0,,0,,10,16,3,0,0,0,3,0,12,0,0,0,0,0,1,0,1,0,3,0,0,0,3,1,0,100.0
7,Douglas Santos,br BRA,6.0,WB,23-353,90,0,0,0,0,1,0,1,0,40,3,1,1,0.0,0.0,0.0,1,0,14,28,50.0,3,14,2,3,2,14,28,50.0,269,188,6,9,66.7,4,9,44.4,3,7,42.9,0,0.0,0.1,0,2,1,0,3,28,20,8,1,0,0,2,7,0,0,0,0,14,0,3,3,3,3,0,0,2,5,40.0,3,1,0,1,1,4,0,0,40,2,17,18,5,0,40,3,2,66.7,1,33.3,14,79,59,2,2,0,3,0,17,2,1,0,0,3,0,0,2,1,3,0,0,0,4,0,0,
8,Dennis Diekmeier,de GER,2.0,WB,28-141,23,0,0,0,0,0,0,0,0,5,2,1,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,0,0,0,0,2,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,0,0,5,1,3,2,0,0,5,0,0,,0,,3,22,21,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
9,Vasilije Janjicic,ch SUI,16.0,CM,19-128,67,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,16,20,80.0,0,8,0,1,1,16,20,80.0,169,59,12,13,92.3,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,16,0,1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,2,0,24,4,7,16,2,0,24,1,1,100.0,0,0.0,8,37,22,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0.0
