,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Kylian Mbappé,fr FRA,29.0,FW,19-052,90,0,0,0,0,1,1,0,0,34,0,0,0,0.0,0.0,0.6,7,0,25,28,89.3,1,26,2,7,4,25,28,89.3,253,47,19,22,86.4,4,4,100.0,0,0,,0,0.6,0.4,5,0,1,0,1,28,24,4,0,0,0,0,1,2,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,0,0,6,28,7,34,7,4,57.1,3,42.9,26,170,79,2,1,3,2,1,27,9,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,
1,Neymar,br BRA,10.0,LW,26-005,90,0,0,0,0,9,1,0,0,121,0,0,0,0.9,0.9,0.7,13,0,83,104,79.8,14,94,11,12,8,83,104,79.8,1145,344,51,55,92.7,23,28,82.1,4,9,44.4,0,0.7,0.8,4,9,6,0,14,104,95,8,3,2,1,1,2,3,1,0,0,83,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,121,0,3,59,64,9,121,12,8,66.7,4,33.3,94,710,396,11,12,4,1,2,112,11,0,0,0,2,5,0,1,0,0,0,0,0,4,0,0,
2,Ángel Di María,ar ARG,11.0,RW,29-361,70,0,0,0,0,2,0,0,0,49,0,1,2,0.1,0.1,0.1,6,0,32,44,72.7,8,34,2,1,1,32,44,72.7,578,192,12,14,85.7,12,14,85.7,5,8,62.5,0,0.1,0.2,2,5,5,1,8,44,38,6,2,1,2,7,0,4,1,0,0,32,0,5,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,49,0,1,15,34,8,49,1,1,100.0,0,0.0,34,182,63,2,0,2,2,2,40,13,0,0,0,0,0,0,7,1,0,0,0,0,3,0,0,
3,Julian Draxler,de GER,23.0,"LM,RW",24-143,20,0,0,0,0,1,1,0,0,34,1,0,1,0.1,0.1,0.0,1,0,26,29,89.7,2,26,2,0,0,26,29,89.7,335,55,21,21,100.0,5,5,100.0,0,2,0.0,0,0.0,0.0,1,2,0,0,2,29,28,1,0,0,0,0,0,1,0,0,0,26,0,1,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,34,0,3,17,14,1,34,0,0,,0,,26,139,102,2,1,1,2,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
4,Adrien Rabiot,fr FRA,25.0,LM,22-313,70,0,0,0,0,0,0,1,0,58,2,0,1,0.0,0.0,0.0,3,0,41,51,80.4,4,37,0,2,2,41,51,80.4,627,138,20,23,87.0,13,15,86.7,4,5,80.0,0,0.0,0.1,0,6,0,0,4,51,50,0,0,0,0,0,0,0,0,0,0,41,1,3,2,2,0,1,1,0,3,0.0,3,1,0,1,0,2,0,0,58,0,6,34,19,3,58,2,2,100.0,0,0.0,37,235,137,0,0,0,2,1,41,3,1,0,0,5,0,0,0,0,2,0,0,0,5,0,0,
5,Javier Pastore,ar ARG,27.0,"RW,LM",28-235,20,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,8,0,1,1,9,12,75.0,65,6,7,9,77.8,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,12,12,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,0,2,3,7,1,12,1,1,100.0,0,0.0,8,41,27,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Lassana Diarra,fr FRA,19.0,CM,32-337,60,0,0,0,0,0,0,1,0,60,1,0,0,0.0,0.0,0.0,1,0,49,57,86.0,4,42,0,0,0,49,57,86.0,936,317,15,15,100.0,23,28,82.1,7,7,100.0,0,0.0,0.0,0,9,0,0,4,57,55,2,2,0,1,0,0,0,0,0,0,49,0,1,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,60,1,6,48,6,0,60,0,0,,0,,42,186,92,0,0,0,1,0,48,0,1,0,0,4,1,0,0,0,0,0,0,0,3,2,2,50.0
7,Marco Verratti,it ITA,6.0,RM,25-097,30,0,0,0,0,0,0,0,0,46,2,1,0,0.0,0.0,0.0,2,0,38,41,92.7,4,30,1,2,2,38,41,92.7,536,114,15,16,93.8,12,12,100.0,3,4,75.0,0,0.0,0.0,0,6,0,0,4,41,38,2,2,0,0,0,0,0,0,0,0,38,1,0,2,0,1,1,0,0,0,,0,0,0,0,1,3,0,0,46,1,10,26,10,1,46,2,2,100.0,0,0.0,30,107,74,1,0,0,1,0,38,2,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,
8,Giovani Lo Celso,ar ARG,18.0,"RM,CM",21-307,90,0,0,0,0,2,1,0,0,94,7,0,1,0.1,0.1,0.0,3,0,71,81,87.7,4,61,1,6,5,71,81,87.7,1165,243,31,35,88.6,26,28,92.9,8,10,80.0,0,0.0,0.1,0,3,2,1,4,81,80,1,0,0,1,1,1,0,0,0,0,71,0,0,7,7,2,4,1,3,7,42.9,4,1,0,1,0,7,0,0,94,0,11,65,18,1,94,6,5,83.3,1,16.7,61,327,176,1,0,0,1,2,75,1,0,0,0,0,3,0,1,0,7,0,0,0,7,0,0,
9,Yuri Berchiche,es ESP,17.0,LB,28-000,90,0,0,0,0,1,0,0,0,89,3,1,1,0.0,0.0,0.1,2,0,76,82,92.7,2,57,0,0,0,76,82,92.7,712,297,54,56,96.4,4,6,66.7,3,4,75.0,0,0.1,0.0,2,3,2,1,2,82,74,8,2,0,0,3,6,0,0,0,0,76,0,1,3,2,0,2,1,0,2,0.0,2,1,0,1,1,4,2,0,89,3,16,44,30,2,89,0,0,,0,,57,157,106,0,0,0,0,0,68,8,0,0,0,1,1,0,3,1,2,0,0,0,6,1,2,33.3
