,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Miguel Ángel Guerrero,es ESP,9.0,FW,29-351,90,0,0,0,0,4,1,0,0,41,0,0,0,0.5,0.5,0.4,3,0,22,29,75.9,5,25,4,2,1,22,29,75.9,311,73,14,15,93.3,7,11,63.6,1,1,100.0,0,0.4,0.0,2,1,2,0,5,29,25,3,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,41,1,2,19,20,4,41,2,1,50.0,1,50.0,25,113,85,4,2,0,2,1,30,4,0,0,0,1,1,0,0,0,0,0,0,0,3,4,8,33.3
1,Roger Assalé,ci CIV,20.0,FW,26-227,79,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,4,0,13,16,81.3,1,21,1,3,1,13,16,81.3,171,37,9,10,90.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,1,0,1,16,16,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,26,0,3,8,15,4,26,3,1,33.3,2,66.7,21,88,19,1,2,0,4,2,23,7,0,0,0,3,2,2,0,0,0,0,0,0,2,1,5,16.7
2,Javier Eraso,es ESP,17.0,FW,30-097,11,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,9,9,100.0,2,10,1,0,0,9,9,100.0,125,35,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.1,0,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,0,0,4,10,5,14,0,0,,0,,10,40,24,1,0,0,2,0,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
3,Roque Mesa,es ESP,6.0,CM,31-020,89,0,1,0,0,2,1,0,0,76,2,4,0,0.1,0.1,0.2,11,1,52,63,82.5,15,55,3,4,3,52,63,82.5,1039,367,21,24,87.5,20,22,90.9,10,13,76.9,1,0.2,0.1,3,8,2,1,15,63,57,6,3,0,1,3,2,1,0,0,0,52,0,3,2,2,1,1,0,1,4,25.0,3,0,0,0,4,6,0,0,76,0,7,43,28,1,76,4,3,75.0,1,25.0,55,367,157,3,3,1,1,3,51,2,0,0,0,0,0,0,3,4,2,0,0,0,13,0,0,
4,Manuel Garrido,es ESP,39.0,CM,19-265,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,1,0,0,0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,,0,,1,13,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
5,Rubén Pérez,es ESP,21.0,CM,31-062,90,0,0,0,0,2,0,0,0,67,1,2,1,0.0,0.0,0.0,3,0,48,58,82.8,6,39,0,2,1,48,58,82.8,925,374,14,18,77.8,30,34,88.2,4,5,80.0,0,0.0,0.0,0,2,0,0,6,58,56,2,2,0,0,0,0,0,0,0,0,48,0,0,1,1,1,0,0,1,3,33.3,2,1,0,1,2,3,1,0,67,2,24,37,8,0,67,2,1,50.0,1,50.0,39,172,68,0,1,0,1,1,26,0,0,0,0,3,2,0,0,2,1,0,0,0,14,4,1,80.0
6,Bryan,es ESP,26.0,"CM,LM",19-137,60,0,0,0,0,3,2,0,0,38,0,0,2,0.4,0.4,0.0,3,0,12,25,48.0,1,31,6,5,3,12,25,48.0,202,78,7,10,70.0,4,9,44.4,1,4,25.0,0,0.0,0.0,1,2,1,1,1,25,25,0,0,0,0,6,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,38,0,2,20,17,5,38,5,3,60.0,2,40.0,31,232,151,6,1,4,4,2,30,8,0,0,0,2,2,0,6,0,0,0,0,0,3,2,0,100.0
7,Jonathan Silva,ar ARG,5.0,LB,25-364,30,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,7,19,36.8,1,11,0,0,0,7,19,36.8,146,99,2,4,50.0,4,9,44.4,1,4,25.0,0,0.0,0.0,0,0,0,0,1,19,14,5,0,0,0,4,4,1,0,1,0,7,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,21,0,3,6,12,3,21,0,0,,0,,11,52,15,0,2,0,1,0,11,5,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,
8,Kévin Rodrigues,pt POR,24.0,"WB,LM,LB",26-114,90,0,0,0,0,5,2,0,0,55,2,2,0,0.3,0.3,0.3,4,0,27,42,64.3,4,29,4,4,4,27,42,64.3,452,179,17,19,89.5,7,11,63.6,3,9,33.3,0,0.3,0.2,1,2,2,0,4,42,29,13,1,0,1,5,10,2,0,0,0,27,0,1,2,2,0,1,1,1,1,100.0,0,0,0,0,2,4,2,0,55,4,16,22,20,3,55,4,4,100.0,0,0.0,29,169,99,4,3,2,2,3,26,5,0,0,0,1,0,0,5,2,2,0,0,0,7,0,2,0.0
9,Aitor Ruibal,es ESP,19.0,WB,24-097,45,0,0,0,0,2,0,0,0,15,0,0,0,0.1,0.1,0.1,5,0,9,11,81.8,0,12,1,5,5,9,11,81.8,111,58,7,7,100.0,2,2,100.0,0,2,0.0,0,0.1,0.0,1,0,0,0,0,11,10,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,2,7,6,2,15,5,5,100.0,0,0.0,12,60,43,1,0,0,1,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
