,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Mauro Icardi,ar ARG,9.0,FW,25-048,90,0,0,0,0,3,1,0,0,15,0,0,0,0.3,0.3,0.1,3,0,8,9,88.9,3,9,1,0,0,8,9,88.9,149,54,2,2,100.0,4,5,80.0,1,1,100.0,0,0.1,0.0,2,1,1,0,3,9,7,2,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,0,4,11,7,15,0,0,,0,,9,45,33,1,1,0,2,0,11,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0.0
1,Ivan Perišić,hr CRO,44.0,"LW,AM",29-065,90,0,0,0,0,2,1,0,0,50,2,0,1,0.1,0.1,0.0,1,0,27,40,67.5,3,26,4,0,0,27,40,67.5,436,117,16,19,84.2,6,7,85.7,4,9,44.4,0,0.0,0.2,0,2,1,0,3,40,38,1,0,0,0,4,1,0,0,0,0,27,1,2,2,0,1,1,0,0,2,0.0,2,1,0,1,0,2,0,0,50,1,5,27,18,4,50,0,0,,0,,26,138,94,4,2,1,3,1,37,8,0,0,0,1,0,0,4,0,0,0,0,0,5,1,2,33.3
2,Antonio Candreva,it ITA,87.0,RW,31-039,58,0,0,0,0,5,4,0,0,34,0,0,0,0.2,0.2,0.1,2,0,19,26,73.1,2,23,1,0,0,19,26,73.1,402,57,8,9,88.9,7,9,77.8,4,6,66.7,0,0.1,0.1,1,3,1,1,2,26,25,1,0,0,1,3,1,0,0,0,0,19,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,1,4,18,13,2,34,0,0,,0,,23,112,49,1,2,1,2,1,29,4,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,
3,Rafinha,br BRA,8.0,"AM,RW,WB",25-055,32,0,0,0,0,1,0,0,0,34,1,0,0,0.0,0.0,0.0,1,0,22,26,84.6,6,26,4,2,1,22,26,84.6,347,50,7,7,100.0,13,14,92.9,0,2,0.0,0,0.0,0.1,0,3,2,0,6,26,25,0,0,0,0,0,0,0,0,0,0,22,1,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,34,0,2,13,20,2,34,2,1,50.0,1,50.0,26,283,191,4,4,0,1,1,26,1,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0.0
4,Borja Valero,es ESP,20.0,AM,33-086,67,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,5,0,28,34,82.4,3,27,4,0,0,28,34,82.4,428,116,14,16,87.5,11,14,78.6,1,1,100.0,0,0.0,0.0,1,3,1,0,3,34,33,1,0,0,0,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,38,0,3,27,9,1,38,0,0,,0,,27,135,98,4,4,0,2,0,29,4,0,0,0,1,1,0,1,0,0,0,0,0,5,0,1,0.0
5,Yann Karamoh,fr FRA,17.0,"RW,WB",19-274,23,0,0,0,0,1,0,0,0,21,1,0,1,0.0,0.0,0.0,0,0,7,15,46.7,1,15,1,1,0,7,15,46.7,140,30,3,3,100.0,3,6,50.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,15,15,0,0,0,0,6,0,0,0,0,0,7,0,2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,21,0,0,4,17,2,21,1,0,0.0,1,100.0,15,123,45,1,0,0,2,0,17,8,0,0,0,2,0,0,6,0,1,0,0,0,2,1,1,50.0
6,Roberto Gagliardini,it ITA,5.0,"DM,CM",24-001,90,0,0,0,0,0,0,1,0,55,2,0,1,0.0,0.0,0.0,1,0,44,49,89.8,7,35,0,1,1,44,49,89.8,708,183,22,24,91.7,18,19,94.7,3,4,75.0,0,0.0,0.0,1,10,0,0,7,49,49,0,0,0,0,0,0,0,0,0,0,44,0,0,2,2,0,1,1,0,2,0.0,2,1,0,1,0,2,2,0,55,1,3,48,4,0,55,1,1,100.0,0,0.0,35,204,91,0,1,0,0,1,38,0,1,0,0,3,1,0,0,0,2,0,0,0,3,6,1,85.7
7,Marcelo Brozović,hr CRO,77.0,"DM,CM",25-143,90,0,0,0,0,1,1,1,0,101,5,2,1,0.0,0.0,0.0,2,0,75,88,85.2,9,70,1,1,1,75,88,85.2,1311,460,36,39,92.3,29,33,87.9,8,12,66.7,0,0.0,0.3,1,10,3,0,9,88,88,0,0,1,0,3,0,0,0,0,0,75,0,1,5,5,2,3,0,2,4,50.0,2,1,0,1,2,7,0,0,101,1,18,68,17,0,101,1,1,100.0,0,0.0,70,377,154,1,2,0,2,3,78,1,1,0,0,2,0,0,3,2,5,0,0,0,9,1,1,50.0
8,Danilo D'Ambrosio,it ITA,33.0,LB,29-211,86,0,0,0,0,1,0,0,0,65,3,0,0,0.0,0.0,0.0,3,0,45,56,80.4,2,34,4,1,0,45,56,80.4,693,237,27,30,90.0,15,18,83.3,3,7,42.9,0,0.0,0.0,1,2,0,0,2,56,47,9,0,1,0,2,9,0,0,0,0,45,0,1,3,2,1,1,1,1,1,100.0,0,0,0,0,0,3,1,0,65,1,19,35,11,0,65,1,0,0.0,1,100.0,34,170,108,4,2,0,2,0,38,1,0,0,0,0,0,0,2,0,2,0,0,0,7,1,0,100.0
9,Andrea Ranocchia,it ITA,13.0,FW,30-051,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
