,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Iñaki Williams,gh GHA,9.0,FW,25-137,70,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.1,1,0,11,18,61.1,2,19,4,1,0,11,18,61.1,152,64,6,7,85.7,5,6,83.3,0,2,0.0,0,0.1,0.1,1,1,1,0,2,18,18,0,0,0,1,2,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,0,4,5,16,2,24,1,0,0.0,1,100.0,19,174,76,4,1,2,3,0,22,5,0,0,0,1,0,1,2,0,0,0,0,0,3,2,2,50.0
1,Larra,es ESP,12.0,"RW,FW",21-317,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,5,1,1,0,5,7,71.4,77,8,4,5,80.0,0,0,,1,2,50.0,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,2,6,0,8,1,0,0.0,1,100.0,5,45,22,1,1,0,0,0,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0
2,Iñigo Córdoba,es ESP,11.0,LW,22-231,90,0,0,0,0,2,1,0,0,46,4,0,3,0.1,0.1,0.0,0,0,18,31,58.1,2,25,0,2,1,18,31,58.1,214,44,10,16,62.5,5,7,71.4,0,3,0.0,0,0.0,0.0,0,0,0,0,2,31,31,0,0,0,0,2,0,0,0,0,0,18,0,1,4,3,1,2,1,2,3,66.7,1,3,0,3,0,4,1,0,46,1,12,16,18,1,46,2,1,50.0,1,50.0,25,99,23,0,0,0,1,4,29,3,0,0,0,1,2,0,2,0,3,0,0,0,6,2,0,100.0
3,Raúl García,es ESP,22.0,"RW,FW,AM",33-111,90,0,1,0,0,2,1,0,0,49,3,1,0,0.1,0.1,0.2,2,0,23,37,62.2,6,21,2,0,0,23,37,62.2,306,96,15,20,75.0,7,11,63.6,0,1,0.0,1,0.2,0.1,2,5,0,0,6,37,36,0,0,1,0,1,0,0,0,0,0,23,1,2,3,2,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0,49,1,3,26,20,3,49,0,0,,0,,21,107,71,2,2,0,4,1,38,8,0,0,0,5,2,1,1,1,2,0,0,0,3,8,3,72.7
4,Iker Muniain,es ESP,10.0,AM,26-315,85,2,0,0,0,2,2,0,0,36,0,1,1,0.1,0.1,0.0,3,1,25,26,96.2,5,24,3,3,2,25,26,96.2,355,104,11,12,91.7,7,7,100.0,2,2,100.0,0,0.0,0.0,1,2,1,0,5,26,25,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0,36,0,2,20,15,3,36,3,2,66.7,1,33.3,24,120,82,3,3,0,2,3,29,6,0,0,0,2,3,0,0,1,0,0,0,0,1,0,2,0.0
5,Aritz Aduriz,es ESP,20.0,FW,38-261,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,0,0,0,0,1,2,50.0,24,4,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
6,Dani García,es ESP,14.0,DM,29-159,90,0,0,0,0,0,0,0,0,47,0,2,0,0.0,0.0,0.0,1,0,36,45,80.0,3,21,0,0,0,36,45,80.0,590,190,16,18,88.9,16,20,80.0,2,4,50.0,0,0.0,0.0,1,2,0,0,3,45,42,3,3,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,2,0,47,2,14,30,3,0,47,0,0,,0,,21,55,15,0,0,0,0,1,25,0,0,0,0,1,1,0,0,2,0,0,0,0,11,1,1,50.0
7,Unai López,es ESP,8.0,DM,24-000,59,0,0,0,0,1,1,0,0,30,2,1,0,0.0,0.0,0.0,0,0,14,19,73.7,0,15,1,0,0,14,19,73.7,166,34,9,11,81.8,4,4,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,19,17,2,0,0,0,3,0,2,0,2,0,14,0,0,2,0,0,2,0,0,1,0.0,1,0,0,0,1,3,0,0,30,0,3,18,9,0,30,0,0,,0,,15,105,24,1,0,0,0,3,14,0,0,0,0,1,1,0,3,1,0,0,0,0,5,0,0,
8,Mikel San José,es ESP,6.0,DM,30-153,31,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,11,17,64.7,2,10,0,0,0,11,17,64.7,199,81,4,5,80.0,6,8,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,2,17,17,0,0,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,3,11,4,0,18,0,0,,0,,10,32,18,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
9,Yuri Berchiche,es ESP,17.0,LB,29-262,90,0,0,0,0,0,0,0,0,72,1,0,1,0.0,0.0,0.0,2,1,54,59,91.5,3,35,1,3,2,54,59,91.5,856,259,27,28,96.4,21,22,95.5,4,5,80.0,0,0.0,0.0,0,2,1,1,3,59,41,18,3,0,1,3,15,0,0,0,0,54,0,2,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,5,0,72,4,23,31,18,0,72,3,2,66.7,1,33.3,35,223,147,1,3,0,2,1,44,4,0,0,0,0,4,0,3,0,1,0,0,0,3,2,0,100.0
10,Iñigo Martínez,es ESP,4.0,CB,28-166,90,0,0,0,0,0,0,0,0,56,1,2,3,0.0,0.0,0.0,0,0,34,44,77.3,2,23,1,0,0,34,44,77.3,871,304,7,9,77.8,19,21,90.5,8,13,61.5,0,0.0,0.0,0,2,0,0,2,44,35,9,9,0,4,0,0,0,0,0,0,34,0,0,1,1,1,0,0,1,1,100.0,0,3,1,2,2,3,6,0,56,5,28,28,0,0,56,0,0,,0,,23,138,75,1,0,0,2,0,25,0,0,0,0,1,2,0,0,2,1,0,0,0,5,2,2,50.0
11,Yeray Álvarez,es ESP,5.0,CB,24-279,90,0,0,0,0,0,0,0,0,49,1,2,0,0.0,0.0,0.0,0,0,28,40,70.0,1,18,0,0,0,28,40,70.0,669,270,10,13,76.9,10,11,90.9,7,14,50.0,0,0.0,0.0,0,0,0,0,1,40,34,6,6,0,2,0,0,0,0,0,0,28,0,1,1,0,1,0,0,0,2,0.0,2,0,0,0,2,3,6,0,49,6,30,19,1,0,49,0,0,,0,,18,97,60,0,1,0,0,0,19,0,0,0,0,0,1,0,0,2,0,0,0,0,8,4,2,66.7
12,Ander Capa,es ESP,21.0,RB,27-264,90,0,0,0,0,0,0,0,0,63,2,2,3,0.0,0.0,0.0,1,0,32,48,66.7,6,28,1,3,2,32,48,66.7,450,196,19,22,86.4,10,17,58.8,1,3,33.3,0,0.0,0.0,0,5,0,0,6,48,38,10,0,0,0,2,10,0,0,0,0,32,0,2,2,0,1,0,1,1,1,100.0,0,3,0,3,2,4,3,0,63,2,12,36,16,0,63,3,2,66.7,1,33.3,28,200,117,1,0,0,2,1,27,3,0,0,0,0,1,0,2,2,0,0,0,0,3,1,2,33.3
