,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Wilfried Zaha,ci CIV,11.0,FW,25-345,90,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,3,0,21,24,87.5,6,29,4,4,2,21,24,87.5,273,76,14,14,100.0,5,7,71.4,0,1,0.0,0,0.0,0.0,0,3,0,0,6,24,24,0,0,1,0,0,0,0,0,0,0,21,0,0,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,36,0,3,22,12,3,36,4,2,50.0,2,50.0,29,225,93,4,2,1,1,7,31,6,0,0,0,3,6,0,0,0,1,1,0,0,7,1,2,33.3
1,Andros Townsend,eng ENG,10.0,"FW,RM",27-097,90,0,0,0,0,1,1,0,0,51,1,0,0,0.0,0.0,0.1,5,0,31,43,72.1,2,21,5,1,0,31,43,72.1,459,108,18,19,94.7,11,14,78.6,1,6,16.7,0,0.1,0.3,2,0,0,0,2,43,35,8,0,0,0,9,2,3,2,0,0,31,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,51,0,3,16,33,5,51,1,0,0.0,1,100.0,21,140,75,5,3,2,3,2,32,13,0,0,0,1,1,0,9,0,0,0,0,0,6,0,0,
2,Jeffrey Schlupp,gh GHA,15.0,LM,25-302,90,0,0,0,0,0,0,0,0,47,1,2,0,0.0,0.0,0.0,0,0,24,35,68.6,6,23,4,2,2,24,35,68.6,298,121,15,20,75.0,8,9,88.9,0,2,0.0,0,0.0,0.1,0,2,3,0,6,35,35,0,0,0,0,0,0,0,0,0,0,24,0,2,1,0,0,1,0,0,0,,0,0,0,0,2,3,2,0,47,1,11,18,20,2,47,2,2,100.0,0,0.0,23,159,102,4,1,1,4,1,32,6,0,0,0,2,1,0,0,2,0,0,0,0,5,5,8,38.5
3,Cheikhou Kouyaté,sn SEN,8.0,CM,28-304,90,0,0,0,0,1,0,0,0,47,4,2,1,0.3,0.3,0.0,0,0,19,29,65.5,4,15,1,0,0,19,29,65.5,305,118,9,13,69.2,8,11,72.7,1,3,33.3,0,0.0,0.0,0,3,0,0,4,29,29,0,0,0,0,0,0,0,0,0,0,19,0,0,4,2,1,3,0,2,3,66.7,1,1,1,0,2,6,4,0,47,4,9,27,11,2,47,0,0,,0,,15,86,55,1,1,0,3,0,24,1,0,0,0,3,1,0,0,2,2,0,0,0,1,5,2,71.4
4,Luka Milivojević,rs SRB,4.0,CM,27-197,90,0,0,0,1,2,1,1,0,61,3,3,2,0.9,0.1,0.0,0,0,32,48,66.7,2,18,0,0,0,32,48,66.7,576,147,13,15,86.7,13,16,81.3,4,10,40.0,0,0.0,0.1,0,2,0,0,2,48,42,6,4,0,1,2,0,2,2,0,0,32,0,3,3,2,1,1,1,1,4,25.0,3,2,2,0,3,6,2,0,61,2,15,34,12,1,60,0,0,,0,,18,62,24,0,0,0,0,3,32,0,1,0,0,3,1,0,2,3,2,0,0,0,3,1,2,33.3
5,James McArthur,sct SCO,18.0,RM,31-014,88,0,0,0,0,0,0,0,0,38,4,0,1,0.0,0.0,0.0,2,0,22,29,75.9,2,19,1,1,0,22,29,75.9,383,76,11,13,84.6,8,11,72.7,3,4,75.0,0,0.0,0.0,1,2,1,0,2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,1,4,3,3,1,0,3,4,75.0,1,1,0,1,0,4,1,0,38,2,10,21,8,0,38,1,0,0.0,1,100.0,19,103,68,1,2,0,0,0,24,2,0,0,0,2,1,0,0,0,3,0,0,0,6,1,1,50.0
6,Connor Wickham,eng ENG,21.0,FW,25-204,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,4,0,0,0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,,0,,4,20,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
7,Patrick van Aanholt,nl NED,3.0,LB,28-053,90,0,0,0,0,0,0,0,0,60,3,0,3,0.0,0.0,0.0,0,0,37,49,75.5,1,13,1,1,0,37,49,75.5,527,164,25,29,86.2,9,12,75.0,3,7,42.9,0,0.0,0.0,0,3,0,0,1,49,37,12,0,0,0,0,12,0,0,0,0,37,0,0,3,3,1,2,0,1,1,100.0,0,3,0,3,0,3,2,0,60,2,21,27,12,1,60,1,0,0.0,1,100.0,13,51,28,1,0,0,2,0,23,1,0,0,0,0,0,0,0,0,3,0,0,0,9,0,1,0.0
8,Mamadou Sakho,fr FRA,12.0,CB,28-250,90,0,0,0,0,0,0,0,0,52,1,2,1,0.0,0.0,0.0,0,0,34,39,87.2,2,16,0,1,1,34,39,87.2,589,270,19,19,100.0,9,13,69.2,5,6,83.3,0,0.0,0.0,0,0,0,0,2,39,38,1,1,0,1,0,0,0,0,0,0,34,0,0,1,1,0,1,0,0,1,0.0,1,1,1,0,2,3,6,0,52,8,32,19,1,1,52,1,1,100.0,0,0.0,16,67,34,0,0,0,2,0,26,0,0,0,0,1,2,0,0,2,1,0,0,0,7,2,1,66.7
9,James Tomkins,eng ENG,5.0,CB,29-206,90,0,0,0,0,1,0,0,0,40,2,0,4,0.1,0.1,0.3,1,0,22,27,81.5,2,12,0,0,0,22,27,81.5,588,292,6,7,85.7,8,9,88.9,7,10,70.0,0,0.3,0.2,1,4,0,0,2,27,25,2,2,0,1,0,0,0,0,0,0,22,0,0,2,2,1,1,0,1,1,100.0,0,4,2,2,0,2,7,0,40,9,27,10,3,3,40,0,0,,0,,12,53,27,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,2,0,0,0,6,1,4,20.0
