,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jaime Mata,es ESP,7.0,FW,30-311,60,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,8,16,50.0,1,11,0,0,0,8,16,50.0,114,28,4,9,44.4,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,1,16,16,0,0,0,0,1,0,0,0,0,0,8,0,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,22,0,0,10,12,3,22,0,0,,0,,11,50,4,0,0,0,3,0,18,5,0,0,0,3,2,2,1,0,0,0,0,0,3,4,3,57.1
1,Ángel Rodríguez,es ESP,9.0,FW,32-127,30,0,0,0,0,3,0,0,0,17,0,0,1,0.1,0.1,0.1,2,0,5,8,62.5,0,10,4,3,2,5,8,62.5,61,8,4,4,100.0,1,3,33.3,0,0,,0,0.1,0.1,2,0,0,0,0,8,7,1,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,17,0,0,2,15,6,17,3,2,66.7,1,33.3,10,98,49,4,0,3,1,1,11,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0
2,Jorge Molina,es ESP,19.0,FW,37-131,90,1,0,0,0,2,1,1,0,42,0,1,0,0.5,0.5,0.1,4,0,20,31,64.5,5,25,0,1,0,20,31,64.5,281,46,11,19,57.9,5,6,83.3,2,2,100.0,0,0.1,0.0,2,1,1,0,5,31,31,0,0,1,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,42,1,2,11,29,5,42,1,0,0.0,1,100.0,25,103,40,0,1,0,3,2,36,13,1,0,0,2,1,1,0,1,0,0,0,0,1,3,3,50.0
3,Marc Cucurella,es ESP,15.0,LM,21-040,90,0,1,0,0,0,0,0,0,55,4,1,0,0.0,0.0,0.4,4,2,29,41,70.7,10,35,2,2,0,29,41,70.7,504,193,13,17,76.5,9,12,75.0,5,7,71.4,1,0.4,0.2,2,10,3,0,10,41,40,0,0,0,0,2,0,0,0,0,0,29,1,1,4,3,0,3,1,0,1,0.0,1,0,0,0,1,5,2,1,55,0,3,25,27,3,55,2,0,0.0,2,100.0,35,227,128,2,1,0,3,1,39,13,0,0,0,1,1,0,2,1,3,0,0,0,4,2,1,66.7
4,David Timor,es ESP,24.0,CM,29-318,68,0,0,0,0,2,0,0,0,42,2,2,1,0.0,0.0,0.0,1,0,26,36,72.2,4,17,0,0,0,26,36,72.2,638,152,11,15,73.3,6,9,66.7,8,10,80.0,0,0.0,0.0,0,6,0,0,4,36,30,5,5,0,3,1,0,0,0,0,0,26,1,0,2,1,1,1,0,2,3,66.7,1,1,0,1,2,4,0,0,42,1,4,29,9,0,42,0,0,,0,,17,82,34,0,0,0,1,0,19,0,0,0,0,0,1,0,1,2,1,0,0,0,2,2,1,66.7
5,Markel Bergara,es ESP,5.0,CM,33-118,22,0,0,0,0,1,0,1,0,11,0,0,0,0.1,0.1,0.0,1,0,6,9,66.7,0,3,0,0,0,6,9,66.7,84,3,3,4,75.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,1,4,6,2,11,0,0,,0,,3,10,1,0,0,0,0,0,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
6,Mauro Arambarri,uy URU,18.0,CM,23-335,90,0,0,0,0,1,0,1,0,53,0,2,1,0.0,0.0,0.0,3,0,27,43,62.8,7,23,0,2,2,27,43,62.8,506,135,10,17,58.8,10,15,66.7,5,7,71.4,0,0.0,0.0,1,4,1,0,7,43,41,2,0,0,3,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0,53,0,3,36,15,0,53,2,2,100.0,0,0.0,23,137,24,0,1,0,4,1,27,4,1,0,0,1,1,0,1,2,0,0,0,0,6,7,3,70.0
7,Fayçal Fajr,ma MAR,21.0,RM,31-030,56,0,0,0,0,2,0,0,0,21,0,0,0,0.0,0.0,0.1,1,0,11,19,57.9,2,10,0,0,0,11,19,57.9,161,82,6,9,66.7,1,3,33.3,2,5,40.0,0,0.1,0.1,1,0,1,1,2,19,18,1,0,0,0,3,0,1,1,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,3,7,11,0,21,0,0,,0,,10,41,9,0,1,0,1,0,13,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0.0
8,Francisco Portillo,es ESP,8.0,RM,29-079,34,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.2,2,0,11,16,68.8,2,14,0,2,2,11,16,68.8,145,78,6,8,75.0,3,3,100.0,1,1,100.0,0,0.2,0.0,1,1,1,0,2,16,15,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,0,12,6,1,18,2,2,100.0,0,0.0,14,65,18,0,1,0,1,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
9,Allan Nyom,cm CMR,12.0,LB,31-113,90,0,0,0,0,1,0,0,0,66,1,0,2,0.1,0.1,0.0,1,0,45,55,81.8,6,35,5,2,1,45,55,81.8,637,209,30,32,93.8,11,15,73.3,2,5,40.0,0,0.0,0.0,1,3,1,1,6,55,44,11,0,0,0,4,11,0,0,0,0,45,0,1,1,0,1,0,0,0,0,,0,2,1,1,0,1,1,0,66,3,19,30,17,1,66,2,1,50.0,1,50.0,35,266,104,5,4,0,3,0,37,2,0,0,0,2,1,0,4,0,0,0,0,0,6,2,1,66.7
