,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Moise Kean,it ITA,18.0,FW,19-087,90,0,0,0,0,3,0,0,0,20,0,0,1,0.2,0.2,0.1,1,0,9,10,90.0,1,13,0,4,2,9,10,90.0,140,15,6,7,85.7,2,2,100.0,1,1,100.0,0,0.1,0.1,1,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,20,0,3,7,11,5,20,4,2,50.0,2,50.0,13,72,1,0,0,1,0,2,13,3,0,0,0,1,1,3,0,0,0,0,0,0,2,1,0,100.0
1,Paulo Dybala,ar ARG,10.0,FW,25-192,90,0,0,0,0,2,1,0,0,55,2,0,0,0.1,0.1,0.0,2,0,34,44,77.3,3,43,0,1,1,34,44,77.3,659,73,18,21,85.7,9,12,75.0,6,8,75.0,0,0.0,0.0,0,2,0,0,3,44,38,6,2,0,3,2,0,1,0,0,0,34,0,2,2,1,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,55,0,4,27,24,1,55,1,1,100.0,0,0.0,43,216,35,0,3,0,5,2,42,4,0,0,0,1,1,1,2,0,1,0,0,0,2,0,1,0.0
2,Matheus Pereira da Silva,br BRA,35.0,LM,21-090,74,0,0,0,0,2,0,0,0,43,2,0,1,0.1,0.1,0.1,2,0,26,33,78.8,3,29,2,2,1,26,33,78.8,424,111,14,14,100.0,8,10,80.0,3,5,60.0,0,0.1,0.1,2,3,2,1,3,33,31,2,0,0,0,4,0,2,0,1,0,26,0,2,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,1,0,43,0,3,19,21,3,43,2,1,50.0,1,50.0,29,126,57,2,1,0,1,0,32,7,0,0,0,1,0,0,4,0,1,0,0,0,1,1,1,50.0
3,Hans Nicolussi Caviglia,it ITA,41.0,LM,18-342,16,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,1,4,25.0,1,1,0,2,0,1,4,25.0,21,3,0,0,,1,2,50.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,4,2,2,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,7,0,2,3,2,0,7,2,0,0.0,2,100.0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
4,Rodrigo Bentancur,uy URU,30.0,CM,21-335,90,0,0,0,0,2,0,0,0,76,3,3,0,0.1,0.1,0.0,1,0,54,60,90.0,10,49,2,4,3,54,60,90.0,1205,260,20,21,95.2,19,20,95.0,14,15,93.3,0,0.0,0.0,0,7,0,0,10,60,58,2,2,0,3,0,0,0,0,0,0,54,0,2,3,2,2,1,0,1,2,50.0,1,0,0,0,3,6,2,0,76,5,20,47,11,1,76,4,3,75.0,1,25.0,49,236,124,2,0,0,2,0,45,1,0,0,0,0,0,1,0,3,2,0,0,0,12,0,1,0.0
5,Emre Can,de GER,23.0,CM,25-134,57,0,0,0,0,1,0,0,0,35,1,0,1,0.0,0.0,0.0,1,0,26,29,89.7,3,25,1,1,1,26,29,89.7,467,87,13,13,100.0,9,9,100.0,4,4,100.0,0,0.0,0.0,0,1,0,0,3,29,27,0,0,0,0,0,0,0,0,0,0,26,2,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,35,2,9,19,7,0,35,1,1,100.0,0,0.0,25,148,71,1,1,0,2,0,24,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,
6,Manolo Portanova,it ITA,34.0,CM,18-358,33,0,0,0,0,0,0,1,0,20,1,1,2,0.0,0.0,0.0,0,0,7,12,58.3,2,9,1,2,1,7,12,58.3,112,26,1,2,50.0,5,7,71.4,0,0,,0,0.0,0.0,0,0,0,0,2,12,11,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,2,0,20,1,4,14,3,1,20,2,1,50.0,1,50.0,9,29,12,1,1,0,1,1,10,2,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,50.0
7,Juan Cuadrado,co COL,16.0,RM,31-000,90,0,0,0,0,0,0,0,0,68,3,0,2,0.0,0.0,0.0,3,0,42,55,76.4,4,50,5,6,3,42,55,76.4,732,158,19,22,86.4,17,23,73.9,4,7,57.1,0,0.0,0.1,1,0,1,0,4,55,52,3,0,0,2,4,2,1,0,1,0,42,0,0,3,1,1,1,1,1,1,100.0,0,2,1,1,0,3,0,0,68,1,11,26,31,1,68,6,3,50.0,3,50.0,50,365,205,5,4,1,3,3,51,13,0,0,0,3,4,0,4,0,1,0,0,0,8,0,1,0.0
8,Mattia De Sciglio,it ITA,2.0,LB,26-218,90,0,0,0,0,1,0,0,0,66,1,1,2,0.0,0.0,0.2,4,0,49,54,90.7,4,44,4,1,0,49,54,90.7,902,210,25,26,96.2,16,17,94.1,7,10,70.0,0,0.2,0.2,2,5,2,1,4,54,48,6,1,0,4,2,5,0,0,0,0,49,0,0,1,1,0,1,0,0,0,,0,2,1,1,1,2,5,0,66,5,24,24,20,1,66,1,0,0.0,1,100.0,44,295,170,4,5,1,3,1,49,8,0,0,0,1,0,0,2,1,1,0,0,0,3,2,1,66.7
9,Giorgio Chiellini,it ITA,3.0,CB,34-285,64,0,0,0,0,0,0,0,0,51,0,4,1,0.0,0.0,0.0,2,0,39,43,90.7,1,32,0,0,0,39,43,90.7,872,349,15,16,93.8,13,13,100.0,11,13,84.6,0,0.0,0.0,1,3,0,0,1,43,42,1,1,0,1,1,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,,0,1,1,0,4,4,4,0,51,9,36,14,1,0,51,0,0,,0,,32,184,56,0,1,0,1,0,36,0,0,0,0,0,0,0,1,4,0,0,0,0,4,2,0,100.0
10,Leonardo Bonucci,it ITA,19.0,CB,32-025,26,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,2,7,0,1,1,5,9,55.6,130,58,1,1,100.0,2,3,66.7,2,4,50.0,0,0.0,0.0,0,1,0,0,2,9,8,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,13,2,8,5,0,0,13,1,1,100.0,0,0.0,7,17,4,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
11,Daniele Rugani,it ITA,24.0,CB,24-301,90,0,0,0,0,0,0,1,0,55,0,2,0,0.0,0.0,0.0,1,0,42,46,91.3,0,41,0,0,0,42,46,91.3,943,278,11,11,100.0,20,21,95.2,11,14,78.6,0,0.0,0.0,0,1,0,0,0,46,46,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,55,11,34,19,2,0,55,0,0,,0,,41,164,57,0,0,0,0,0,40,0,1,0,0,3,0,0,0,2,0,0,0,0,3,3,0,100.0
12,Martín Cáceres,uy URU,4.0,RB,32-049,90,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,1,0,56,62,90.3,6,45,5,0,0,56,62,90.3,864,266,31,32,96.9,20,20,100.0,3,4,75.0,0,0.0,0.0,1,6,0,0,6,62,56,5,1,0,1,1,4,0,0,0,0,56,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,65,1,19,33,13,0,65,0,0,,0,,45,210,141,5,5,0,1,0,48,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,40.0
