,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Maxime Pélican,fr FRA,36.0,FW,20-287,65,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,12,41.7,0,7,0,0,0,5,12,41.7,45,0,5,9,55.6,0,3,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,1,10,2,0,13,0,0,,0,,7,22,1,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,7,0.0
1,Mohamed Lamine Diaby,fr FRA,33.0,FW,18-035,25,0,0,0,0,1,0,0,0,13,0,2,1,0.1,0.1,0.0,1,0,5,6,83.3,0,2,0,0,0,5,6,83.3,35,1,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,13,0,0,6,7,4,13,0,0,,0,,2,17,0,0,1,0,2,0,7,3,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,50.0
2,Allan Saint-Maximin,fr FRA,7.0,LW,21-348,90,0,0,0,0,2,0,0,0,40,0,0,0,0.1,0.1,0.0,5,0,19,26,73.1,0,33,5,10,8,19,26,73.1,261,18,13,17,76.5,5,5,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,26,25,1,0,0,0,1,1,0,0,0,0,19,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,40,0,3,21,17,4,40,10,8,80.0,2,20.0,33,376,142,5,6,4,4,4,35,10,0,0,0,0,2,1,1,0,0,0,0,0,2,0,2,0.0
3,Jean-Victor Makengo,fr FRA,27.0,RW,20-256,80,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.0,0,0,17,20,85.0,3,17,3,2,1,17,20,85.0,253,49,8,10,80.0,8,9,88.9,0,0,,0,0.0,0.0,0,3,0,0,3,20,20,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,0,1,17,7,0,25,2,1,50.0,1,50.0,17,141,97,3,2,0,3,1,21,2,1,0,0,1,1,0,1,0,0,0,0,0,2,0,3,0.0
4,Danilo Barbosa,br BRA,21.0,RW,22-360,10,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,6,0,1,0,3,5,60.0,42,7,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,8,0,0,2,6,2,8,1,0,0.0,1,100.0,6,9,7,0,0,0,1,1,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0
5,Pierre Lees-Melou,fr FRA,8.0,LM,25-274,90,0,0,0,0,1,0,0,0,61,4,1,6,0.0,0.0,0.0,0,0,34,49,69.4,3,21,0,1,0,34,49,69.4,581,88,11,17,64.7,21,25,84.0,1,3,33.3,0,0.0,0.0,0,1,0,0,3,49,47,2,2,0,0,0,0,0,0,0,0,34,0,0,4,2,2,2,0,1,1,100.0,0,6,2,4,1,5,1,0,61,2,18,36,8,0,61,1,0,0.0,1,100.0,21,71,27,0,0,0,0,1,37,0,0,0,0,1,1,0,0,1,2,0,0,0,7,3,1,75.0
6,Adrien Tameze,cm CMR,5.0,CM,25-019,58,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,17,22,77.3,1,15,1,1,0,17,22,77.3,284,54,6,8,75.0,7,9,77.8,2,2,100.0,0,0.0,0.0,0,1,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,29,1,5,21,3,0,29,1,0,0.0,1,100.0,15,99,39,1,0,0,3,0,24,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0.0
7,Bassem Srarfi,tn TUN,11.0,CM,21-243,32,0,0,0,0,1,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,6,9,66.7,1,7,0,1,0,6,9,66.7,108,7,1,3,33.3,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,18,3,5,6,8,0,18,1,0,0.0,1,100.0,7,29,19,0,0,0,1,1,11,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
8,Wylan Cyprien,fr FRA,25.0,RM,24-026,90,0,0,0,0,1,0,0,0,74,1,1,0,0.0,0.0,0.3,4,0,59,69,85.5,6,32,1,1,1,59,69,85.5,1281,412,19,19,100.0,26,29,89.7,13,19,68.4,0,0.3,0.2,5,5,1,0,6,69,63,6,2,0,2,5,0,4,1,3,0,59,0,0,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,74,2,19,46,10,0,74,1,1,100.0,0,0.0,32,156,88,1,1,0,0,0,48,0,0,0,0,0,2,0,5,1,1,0,0,0,3,1,1,50.0
9,Andy Pelmard,fr FRA,35.0,LB,18-348,90,0,0,0,0,0,0,0,0,74,1,1,0,0.0,0.0,0.0,1,0,63,69,91.3,4,33,1,1,0,63,69,91.3,1103,222,25,27,92.6,35,38,92.1,3,4,75.0,0,0.0,0.0,0,3,0,0,4,69,55,14,4,0,0,0,10,0,0,0,0,63,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,3,0,74,4,35,38,1,0,74,1,0,0.0,1,100.0,33,207,102,1,0,0,0,0,47,0,0,0,0,0,1,0,0,1,1,0,0,0,8,3,2,60.0
