,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Stipe Perica,hr CRO,11.0,FW,23-085,45,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,1,5,9,55.6,0,5,0,1,0,5,9,55.6,41,0,4,4,100.0,0,3,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,9,2,0,11,1,0,0.0,1,100.0,5,6,4,0,0,0,1,1,9,4,0,0,0,1,1,0,0,0,0,1,0,0,0,3,4,42.9
1,Daniel Ciofani,it ITA,9.0,FW,33-061,45,0,0,0,0,1,0,0,0,18,0,1,0,0.0,0.0,0.1,4,0,8,13,61.5,0,7,0,0,0,8,13,61.5,78,2,3,4,75.0,2,4,50.0,0,0,,0,0.1,0.0,4,1,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,18,0,0,6,12,2,18,0,0,,0,,7,7,0,0,0,0,0,1,14,7,0,0,0,1,0,0,0,1,0,0,0,0,1,5,3,62.5
2,Joel Campbell,cr CRC,29.0,LW,26-096,60,0,0,0,0,2,1,1,0,31,1,0,0,0.1,0.1,0.1,2,0,14,22,63.6,2,22,3,1,0,14,22,63.6,286,44,6,8,75.0,4,7,57.1,3,6,50.0,0,0.1,0.0,1,0,1,0,2,22,21,1,1,0,2,3,0,0,0,0,0,14,0,0,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,31,1,2,11,19,3,31,1,0,0.0,1,100.0,22,165,78,3,4,0,4,2,25,7,1,0,0,2,3,0,3,0,0,0,0,0,1,0,1,0.0
3,Danilo Soddimo,it ITA,10.0,LW,31-003,30,0,0,0,0,0,0,0,0,18,0,0,2,0.0,0.0,0.0,2,0,8,13,61.5,0,11,0,1,0,8,13,61.5,142,30,5,5,100.0,2,6,33.3,1,1,100.0,0,0.0,0.0,1,1,1,1,0,13,11,2,0,0,0,2,1,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,0,0,18,1,2,10,6,1,18,1,0,0.0,1,100.0,11,52,7,0,1,0,1,1,11,4,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,100.0
4,Camillo Ciano,it ITA,28.0,RW,28-220,90,1,0,1,1,4,1,0,0,56,1,0,1,0.9,0.1,0.1,10,0,29,46,63.0,4,38,1,0,0,29,46,63.0,590,129,10,14,71.4,11,16,68.8,7,13,53.8,0,0.1,0.1,2,1,1,0,4,46,36,9,5,0,1,11,0,4,3,1,0,29,1,1,1,1,0,1,0,0,0,,0,1,1,0,0,1,0,0,56,0,3,27,27,1,55,0,0,,0,,38,164,69,1,2,0,1,5,45,9,0,0,0,4,8,0,11,0,1,0,0,0,3,0,2,0.0
5,Cristian Molinaro,it ITA,3.0,"LM,LB",35-062,90,0,0,0,0,0,0,0,0,53,0,1,0,0.0,0.0,0.3,1,0,37,50,74.0,3,29,3,1,1,37,50,74.0,764,270,15,17,88.2,15,17,88.2,7,13,53.8,0,0.3,0.1,1,3,1,1,3,50,40,10,3,0,2,2,7,0,0,0,0,37,0,4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,53,1,17,23,13,1,53,1,1,100.0,0,0.0,29,177,96,3,3,0,1,1,30,5,0,0,0,1,4,0,2,1,0,0,0,0,7,0,1,0.0
6,Emil Hallfreðsson,is ISL,20.0,"CM,DM",34-093,90,0,0,0,0,0,0,1,0,39,1,0,2,0.0,0.0,0.0,1,0,27,32,84.4,5,18,1,0,0,27,32,84.4,608,112,11,14,78.6,9,9,100.0,7,9,77.8,0,0.0,0.0,1,0,1,0,5,32,31,1,1,0,3,0,0,0,0,0,0,27,0,0,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0,39,2,7,29,4,0,39,0,0,,0,,18,93,57,1,1,0,1,0,23,4,1,0,0,4,1,0,0,0,1,0,0,0,8,0,1,0.0
7,Raman Chibsah,gh GHA,66.0,"CM,DM",25-204,90,0,0,0,0,4,0,0,0,47,2,2,1,0.3,0.3,0.0,2,0,31,35,88.6,7,26,0,0,0,31,35,88.6,592,219,10,11,90.9,14,16,87.5,5,5,100.0,0,0.0,0.0,0,3,0,0,7,35,34,1,0,0,1,0,1,0,0,0,0,31,0,1,2,2,1,1,0,0,1,0.0,1,1,0,1,2,4,0,0,47,1,9,27,11,1,47,0,0,,0,,26,90,28,0,2,0,2,2,29,0,0,0,0,3,2,0,0,2,2,0,0,0,7,0,1,0.0
8,Francesco Zampano,it ITA,17.0,"RM,RB",25-000,90,0,0,0,0,2,1,0,0,52,0,0,0,0.1,0.1,0.0,2,0,33,47,70.2,4,23,3,1,1,33,47,70.2,513,219,15,20,75.0,15,19,78.9,2,6,33.3,0,0.0,0.0,0,3,1,1,4,47,37,10,0,0,0,6,10,0,0,0,0,33,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,52,1,8,27,17,1,52,1,1,100.0,0,0.0,23,182,117,3,3,0,0,3,34,5,0,0,0,0,0,1,6,0,0,0,0,0,1,2,0,100.0
9,Marco Capuano,it ITA,25.0,CB,26-351,74,0,0,0,0,1,0,0,0,58,1,1,2,0.0,0.0,0.0,1,0,42,51,82.4,11,35,0,0,0,42,51,82.4,833,450,13,15,86.7,23,26,88.5,6,9,66.7,0,0.0,0.0,0,8,0,0,11,51,48,3,2,0,0,0,1,0,0,0,0,42,0,0,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,3,0,58,4,19,38,2,1,58,0,0,,0,,35,130,85,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,1,0,0,0,7,3,3,50.0
10,Rai Vloet,nl NED,4.0,"AM,CB",23-145,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,4,0,0,0,5,6,83.3,69,30,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.1,1,0,1,1,0,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,2,5,0,7,0,0,,0,,4,9,5,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
11,Bartosz Salamon,pl POL,27.0,CB,27-152,90,0,0,0,0,2,0,0,0,65,1,3,1,0.1,0.1,0.0,2,1,45,56,80.4,5,29,0,0,0,45,56,80.4,1127,415,4,4,100.0,31,37,83.8,10,14,71.4,0,0.0,0.0,0,3,1,0,5,56,56,0,0,0,0,0,0,0,0,0,0,45,0,1,1,0,0,1,0,0,1,0.0,1,1,0,1,3,4,2,1,65,3,22,41,2,2,65,0,0,,0,,29,92,55,0,1,0,0,1,40,1,0,0,0,2,0,0,0,3,0,0,0,0,4,3,2,60.0
12,Edoardo Goldaniga,it ITA,6.0,CB,24-332,90,0,0,0,0,0,0,1,0,63,2,1,0,0.0,0.0,0.0,3,0,52,58,89.7,7,31,1,0,0,52,58,89.7,1076,382,15,17,88.2,28,29,96.6,8,10,80.0,0,0.0,0.0,0,4,0,0,7,58,54,4,4,0,1,0,0,0,0,0,0,52,0,0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,3,0,63,4,19,42,4,1,63,0,0,,0,,31,187,130,1,1,0,2,1,43,0,1,0,0,3,0,0,0,1,2,0,0,0,3,3,2,60.0
