,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Fyodor Smolov,ru RUS,9.0,FW,30-013,64,0,0,0,0,0,0,0,0,19,0,1,1,0.0,0.0,0.0,3,0,7,14,50.0,2,14,0,3,2,7,14,50.0,88,6,4,9,44.4,2,2,100.0,0,1,0.0,0,0.0,0.0,1,0,1,0,2,14,13,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,19,0,5,8,6,0,19,3,2,66.7,1,33.3,14,63,13,0,0,0,0,2,15,3,0,0,0,1,2,2,0,1,0,0,0,0,2,2,3,40.0
1,Fran Beltrán,es ESP,8.0,CM,21-019,26,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,3,1,0,0,5,6,83.3,61,40,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,6,0,3,2,1,0,6,0,0,,0,,3,28,25,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,50.0
2,Iago Aspas,es ESP,10.0,FW,32-205,82,1,0,0,0,1,1,0,0,36,2,1,0,0.1,0.1,0.0,1,0,14,24,58.3,0,22,1,1,0,14,24,58.3,162,13,7,8,87.5,2,6,33.3,1,2,50.0,0,0.0,0.0,0,1,0,0,0,24,24,0,0,0,1,0,0,0,0,0,0,14,0,1,2,2,1,1,0,0,0,,0,0,0,0,1,3,1,0,36,1,10,17,10,1,36,1,0,0.0,1,100.0,22,128,53,1,3,0,4,2,24,3,0,0,0,3,1,0,0,1,2,0,0,0,4,2,4,33.3
3,Santi Mina,es ESP,22.0,FW,24-077,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,1,0,0,1,3,33.3,11,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,5,0,1,1,3,0,5,0,0,,0,,1,15,4,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0
4,Denis Suárez,es ESP,6.0,LM,26-047,77,0,0,0,0,0,0,1,0,38,0,3,1,0.0,0.0,0.0,0,0,17,22,77.3,2,19,0,6,3,17,22,77.3,201,69,14,16,87.5,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,2,22,20,2,1,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,2,0,38,1,15,18,5,0,38,6,3,50.0,3,50.0,19,82,21,0,0,0,2,0,21,2,1,0,0,1,2,0,0,3,0,0,0,0,4,0,3,0.0
5,Joseph Aidoo,gh GHA,18.0,"CB,LM",24-146,13,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,2,2,100.0,34,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Filip Bradarić,hr CRO,14.0,CM,28-042,20,0,0,0,0,0,0,0,1,21,0,0,0,0.0,0.0,0.0,0,0,17,20,85.0,2,15,0,0,0,17,20,85.0,313,67,7,9,77.8,7,7,100.0,3,4,75.0,0,0.0,0.0,0,2,0,0,2,20,19,1,1,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,21,0,4,15,2,0,21,0,0,,0,,15,73,33,0,0,0,0,0,17,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,100.0
7,Okay Yokuşlu,tr TUR,5.0,CM,25-350,90,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,0,0,20,26,76.9,2,17,0,1,1,20,26,76.9,274,71,9,10,90.0,10,11,90.9,0,0,,0,0.0,0.0,0,1,0,0,2,26,24,2,2,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,40,11,22,18,1,0,40,1,1,100.0,0,0.0,17,86,35,0,0,0,0,2,18,0,0,0,0,2,0,0,0,1,0,0,0,0,3,3,4,42.9
8,Rafinha,br BRA,12.0,"RM,CM",27-010,90,0,0,0,0,1,0,0,0,61,4,4,2,0.0,0.0,0.0,0,0,29,37,78.4,2,31,0,4,1,29,37,78.4,577,102,10,13,76.9,12,13,92.3,5,7,71.4,0,0.0,0.0,0,0,0,0,2,37,35,2,1,0,2,0,1,0,0,0,0,29,0,2,4,2,4,0,0,1,2,50.0,1,2,1,1,4,8,0,0,61,4,27,24,11,1,61,4,1,25.0,3,75.0,31,178,41,0,3,1,4,4,28,4,0,0,0,0,4,0,0,4,2,0,0,0,12,1,2,33.3
9,Lucas Olaza,uy URU,15.0,LB,25-216,90,0,1,0,0,1,0,0,0,59,1,1,1,0.0,0.0,0.1,2,2,39,49,79.6,2,28,1,0,0,39,49,79.6,654,299,15,18,83.3,21,23,91.3,3,7,42.9,1,0.1,0.1,1,2,0,0,2,49,39,10,3,0,0,3,5,2,1,1,0,39,0,3,1,1,1,0,0,0,0,,0,1,0,1,1,2,5,0,59,7,31,19,9,0,59,0,0,,0,,28,126,63,1,1,0,0,0,31,0,0,0,0,2,2,0,3,1,1,0,0,0,3,0,1,0.0
