,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Kalifa Coulibaly,ml MLI,7.0,FW,28-045,90,0,0,0,0,3,2,0,0,25,1,2,0,0.4,0.4,0.0,1,0,11,15,73.3,2,15,1,1,0,11,15,73.3,92,17,7,8,87.5,1,3,33.3,0,0,,0,0.0,0.3,0,0,1,0,2,15,15,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,0,0,0,,0,0,0,0,2,3,1,0,25,1,2,5,18,5,25,1,0,0.0,1,100.0,15,72,12,1,0,1,1,5,25,7,0,0,0,1,0,2,0,2,1,0,0,0,1,4,6,40.0
1,Moses Simon,ng NGA,27.0,LW,24-085,89,1,0,0,0,4,3,0,0,60,1,0,1,0.6,0.6,0.1,5,0,33,44,75.0,6,49,18,3,2,33,44,75.0,486,175,19,21,90.5,12,14,85.7,1,1,100.0,0,0.1,1.1,2,4,3,0,6,44,44,0,0,1,0,3,0,0,0,0,0,33,0,6,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,60,0,4,15,41,11,60,3,2,66.7,1,33.3,49,479,366,18,8,6,3,6,50,21,0,0,0,0,1,0,3,0,0,0,0,0,4,1,1,50.0
2,Samuel Moutoussamy,cd COD,18.0,LW,23-054,1,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.2,1,0,5,6,83.3,2,6,2,1,1,5,6,83.3,84,54,2,2,100.0,2,2,100.0,1,1,100.0,0,0.2,0.0,1,2,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,5,2,0,7,1,1,100.0,0,0.0,6,47,36,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
3,Ludovic Blas,fr FRA,17.0,RW,21-278,72,0,0,0,0,3,0,0,0,37,1,1,1,0.1,0.1,0.1,3,0,21,25,84.0,9,24,1,4,2,21,25,84.0,381,181,10,13,76.9,9,9,100.0,2,2,100.0,0,0.1,0.1,2,5,2,0,9,25,25,0,0,0,1,0,0,0,0,0,0,21,0,0,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,0,0,37,0,5,18,15,2,37,4,2,50.0,2,50.0,24,244,77,1,3,1,1,2,25,3,0,0,0,0,1,0,0,1,1,0,0,0,4,1,0,100.0
4,Abdoul Kader Bamba,fr FRA,32.0,RW,25-133,18,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.5,2,2,5,6,83.3,0,7,4,2,2,5,6,83.3,66,26,3,4,75.0,2,2,100.0,0,0,,1,0.5,0.6,1,0,0,0,0,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,8,0,1,4,5,1,8,2,2,100.0,0,0.0,7,125,111,4,3,1,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,
5,Cristian Benavente,pe PER,10.0,AM,25-139,63,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.1,3,0,24,27,88.9,6,24,1,3,1,24,27,88.9,278,63,16,16,100.0,7,8,87.5,0,1,0.0,0,0.1,0.1,2,2,0,0,6,27,26,1,0,0,0,1,0,0,0,0,0,24,0,1,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,35,0,0,21,15,8,35,3,1,33.3,2,66.7,24,105,40,1,2,0,5,2,28,12,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0.0
6,Imran Louza,ma MAR,26.0,AM,20-157,27,0,0,0,0,1,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,12,15,80.0,0,11,1,1,1,12,15,80.0,134,12,7,8,87.5,2,3,66.7,1,2,50.0,0,0.0,0.0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,0,0,0,12,0,0,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,20,0,1,6,13,2,20,1,1,100.0,0,0.0,11,58,23,1,0,1,1,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
7,Mehdi Abeid,dz ALG,11.0,DM,27-060,90,0,0,0,0,1,0,0,0,85,4,3,3,0.1,0.1,0.1,5,0,62,75,82.7,7,52,0,2,2,62,75,82.7,1071,299,28,30,93.3,27,30,90.0,5,12,41.7,0,0.1,0.1,2,7,3,1,7,75,67,7,1,0,0,7,0,6,2,2,0,62,1,0,4,3,2,2,0,1,3,33.3,2,3,1,2,3,7,0,0,85,2,12,55,18,2,85,2,2,100.0,0,0.0,52,215,57,0,1,0,1,0,56,0,0,0,0,4,2,0,7,3,3,0,0,0,12,0,0,
8,Abdoulaye Touré,fr FRA,19.0,DM,25-216,90,0,0,0,0,2,0,0,0,78,2,2,2,0.1,0.1,0.0,1,0,54,63,85.7,7,49,4,2,2,54,63,85.7,861,205,30,35,85.7,18,19,94.7,4,6,66.7,0,0.0,0.1,0,8,1,0,7,63,61,2,2,0,1,1,0,0,0,0,0,54,0,1,2,1,0,2,0,1,2,50.0,1,2,1,1,2,4,0,0,78,2,9,50,19,2,78,2,2,100.0,0,0.0,49,184,89,4,1,2,3,2,54,2,0,0,0,1,1,0,1,2,1,0,0,0,7,0,1,0.0
9,Fábio,br BRA,2.0,LB,29-088,90,0,0,0,0,0,0,0,0,64,3,1,0,0.0,0.0,0.0,0,0,45,60,75.0,4,38,3,1,0,45,60,75.0,671,300,29,32,90.6,14,19,73.7,1,4,25.0,0,0.0,0.0,0,4,1,0,4,60,47,13,0,0,0,5,13,0,0,0,0,45,0,1,3,1,3,0,0,1,2,50.0,1,0,0,0,1,4,0,0,64,0,13,31,20,1,64,1,0,0.0,1,100.0,38,221,122,3,2,0,0,0,38,6,0,0,0,0,0,0,5,1,1,0,0,0,6,0,0,
10,Nicolas Pallois,fr FRA,4.0,CB,32-016,90,0,0,0,0,0,0,0,0,71,3,2,1,0.0,0.0,0.0,1,0,55,61,90.2,9,43,1,2,2,55,61,90.2,1042,367,19,20,95.0,30,32,93.8,5,8,62.5,0,0.0,0.0,1,4,0,0,9,61,57,4,3,0,0,0,1,0,0,0,0,55,0,0,3,2,2,1,0,3,3,100.0,0,1,1,0,2,5,3,0,71,4,24,47,2,0,71,2,2,100.0,0,0.0,43,278,172,1,1,0,0,0,41,0,0,0,0,1,0,0,0,2,2,0,0,0,7,1,1,50.0
11,Andrei Girotto,br BRA,20.0,CB,27-230,90,0,0,0,0,0,0,1,0,57,5,2,1,0.0,0.0,0.0,0,0,44,52,84.6,0,39,0,1,1,44,52,84.6,778,305,17,21,81.0,23,24,95.8,3,6,50.0,0,0.0,0.0,0,1,0,0,0,52,51,1,1,0,1,0,0,0,0,0,0,44,0,1,5,3,5,0,0,4,7,57.1,3,1,0,1,2,7,0,0,57,0,28,29,0,0,57,1,1,100.0,0,0.0,39,147,84,0,0,0,0,0,37,0,1,0,0,3,0,0,0,2,3,0,0,0,7,2,1,66.7
12,Dennis Appiah,fr FRA,12.0,RB,27-118,90,0,0,0,0,0,0,0,0,56,4,1,0,0.0,0.0,0.0,0,0,38,48,79.2,2,32,1,0,0,38,48,79.2,521,140,26,27,96.3,10,15,66.7,1,4,25.0,0,0.0,0.0,0,2,0,0,2,48,39,9,1,0,0,1,8,0,0,0,0,38,0,1,4,1,1,2,1,2,2,100.0,0,0,0,0,1,5,0,0,56,1,16,29,11,0,56,0,0,,0,,32,139,52,1,0,0,1,0,29,2,0,0,0,2,1,0,1,1,1,0,0,0,8,0,1,0.0
