,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Aleix Vidal,es ESP,18.0,"LM,FW",30-297,45,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,5,12,41.7,1,6,0,0,0,5,12,41.7,118,55,0,1,0.0,4,4,100.0,1,5,20.0,0,0.1,0.1,1,1,0,0,1,12,8,4,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,0,1,11,4,0,16,0,0,,0,,6,22,2,0,0,0,3,0,7,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0.0
1,Pere Pons,es ESP,20.0,"CM,LM",27-114,45,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,12,0,1,0,9,12,75.0,120,22,6,7,85.7,3,3,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,12,11,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,15,0,1,12,2,0,15,1,0,0.0,1,100.0,12,37,17,0,0,0,1,0,14,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0.0
2,Oliver Burke,sct SCO,24.0,FW,23-067,90,0,0,0,0,0,0,1,0,24,1,0,3,0.0,0.0,0.0,0,0,6,14,42.9,0,12,1,2,0,6,14,42.9,61,6,5,7,71.4,1,4,25.0,0,0,,0,0.0,0.0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,0,0,0,6,0,1,1,1,0,1,0,0,1,0.0,1,3,0,3,0,1,1,0,24,1,1,16,7,1,24,2,0,0.0,2,100.0,12,41,22,1,0,0,2,0,20,6,1,0,0,2,0,0,1,0,1,0,0,0,0,5,10,33.3
3,Édgar Méndez,es ESP,16.0,LM,30-163,20,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0,3,5,60.0,28,4,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,4,2,1,7,0,0,,0,,4,21,5,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,50.0
4,Roberto,es ESP,13.0,GK,34-124,70,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,0,0,11,28,39.3,0,8,0,0,0,11,28,39.3,588,581,1,1,100.0,0,0,,10,27,37.0,0,0.0,0.0,0,2,0,0,0,28,14,14,5,0,0,0,0,0,0,0,0,11,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,33,31,33,0,0,0,33,0,0,,0,,8,55,26,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
5,Víctor Camarasa,es ESP,10.0,"CM,RM",26-016,81,0,0,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.0,1,0,21,26,80.8,3,16,1,1,0,21,26,80.8,330,130,10,12,83.3,6,8,75.0,3,3,100.0,0,0.0,0.0,0,2,1,0,3,26,21,5,2,0,0,1,0,1,0,0,0,21,0,0,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0,35,3,6,24,5,0,35,1,0,0.0,1,100.0,16,42,20,1,0,0,3,2,22,1,0,0,0,1,2,0,1,0,1,0,0,0,2,1,0,100.0
6,Borja Sainz,es ESP,29.0,RM,19-133,9,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,0,1,1,2,0,4,0,0,,0,,3,6,3,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
7,Ljubomir Fejsa,rs SRB,15.0,CM,31-304,54,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,0,0,12,13,92.3,0,11,0,1,0,12,13,92.3,130,53,7,8,87.5,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,1,0,0,0,3,0.0,3,0,0,0,1,2,3,0,21,5,10,11,0,0,21,1,0,0.0,1,100.0,11,27,8,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0
8,Luis Rioja,es ESP,11.0,LM,26-241,36,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,10,1,0,0,9,11,81.8,73,24,8,9,88.9,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13,0,1,7,5,0,13,0,0,,0,,10,61,30,1,0,0,0,1,12,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
9,Martin Agirregabiria,es ESP,21.0,"RM,RB",24-034,90,0,0,0,0,0,0,0,0,34,0,1,1,0.0,0.0,0.0,0,0,19,28,67.9,1,13,0,1,0,19,28,67.9,341,169,9,11,81.8,5,7,71.4,3,7,42.9,0,0.0,0.0,0,0,0,0,1,28,19,9,1,0,0,1,8,0,0,0,0,19,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,34,2,13,19,3,0,34,1,0,0.0,1,100.0,13,82,32,0,0,0,1,1,12,1,0,0,0,0,1,0,1,1,0,0,0,0,6,1,2,33.3
