,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Gelson Martins,pt POR,18.0,FW,23-176,87,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,3,1,15,20,75.0,0,23,2,1,0,15,20,75.0,210,55,9,12,75.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,31,0,2,10,19,3,31,1,0,0.0,1,100.0,23,129,44,2,2,0,2,4,23,9,0,0,0,1,4,0,0,0,0,0,0,0,2,1,4,20.0
1,Nikola Kalinić,hr CRO,9.0,FW,30-302,3,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
2,Antoine Griezmann,fr FRA,7.0,FW,27-227,90,1,0,0,0,5,3,0,0,54,1,0,0,0.2,0.2,0.1,4,0,28,44,63.6,5,26,1,0,0,28,44,63.6,330,135,13,19,68.4,8,9,88.9,0,6,0.0,0,0.1,0.2,1,4,1,0,5,44,37,6,3,1,1,3,0,1,0,1,0,28,1,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,54,1,4,24,27,2,54,0,0,,0,,26,104,56,1,0,0,0,2,37,6,0,0,0,0,0,0,3,0,1,0,0,0,2,1,2,33.3
3,Thomas Lemar,fr FRA,11.0,LM,22-356,71,0,0,0,0,0,0,0,0,46,0,0,2,0.0,0.0,0.1,2,0,27,37,73.0,5,28,2,3,3,27,37,73.0,385,163,15,15,100.0,7,11,63.6,2,7,28.6,0,0.1,0.1,1,2,0,0,5,37,30,7,1,0,0,6,0,6,0,5,0,27,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,46,0,4,25,18,0,46,3,3,100.0,0,0.0,28,148,53,2,2,0,3,3,31,6,0,0,0,0,1,0,6,0,0,0,0,0,4,1,2,33.3
4,Thomas Partey,gh GHA,5.0,"CM,LM",25-143,19,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,0,0,7,10,70.0,79,36,3,4,75.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,13,0,4,9,0,0,13,0,0,,0,,7,18,10,0,0,0,1,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,100.0
5,Saúl Ñíguez,es ESP,8.0,"CM,LM",23-347,90,0,0,0,0,0,0,0,0,66,8,0,1,0.0,0.0,0.0,0,0,41,54,75.9,4,33,2,2,1,41,54,75.9,652,132,20,25,80.0,14,18,77.8,3,6,50.0,0,0.0,0.0,0,3,0,0,4,54,54,0,0,1,2,0,0,0,0,0,0,41,0,0,8,6,4,4,0,3,5,60.0,2,1,0,1,0,8,2,0,66,3,14,44,8,0,66,2,1,50.0,1,50.0,33,154,81,2,1,0,1,1,39,0,0,0,0,5,0,0,0,0,6,0,0,0,7,2,2,50.0
6,Rodri,es ESP,14.0,CM,22-134,90,0,0,0,0,1,0,0,0,80,3,2,1,0.1,0.1,0.0,2,0,56,68,82.4,5,38,0,1,1,56,68,82.4,1068,316,18,22,81.8,28,33,84.8,9,11,81.8,0,0.0,0.0,1,2,1,0,5,68,64,4,3,0,0,0,1,0,0,0,0,56,0,0,3,0,0,3,0,0,1,0.0,1,1,0,1,2,5,4,0,80,4,20,54,6,1,80,1,1,100.0,0,0.0,38,144,62,0,1,0,0,1,47,0,0,0,0,0,2,0,0,2,0,0,0,0,8,6,4,60.0
7,Ángel Correa,ar ARG,10.0,RM,23-239,64,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.0,0,0,10,19,52.6,0,22,1,4,3,10,19,52.6,146,25,2,5,40.0,4,8,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,10,0,0,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,30,0,1,13,16,3,30,4,3,75.0,1,25.0,22,69,46,1,2,1,3,1,22,5,0,0,0,1,2,1,0,0,1,0,0,0,6,0,4,0.0
8,Vitolo,es ESP,23.0,RM,29-001,26,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,2,9,1,1,0,7,9,77.8,116,45,3,3,100.0,1,2,50.0,2,2,100.0,0,0.0,0.0,0,2,1,0,2,9,9,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,1,4,5,0,10,1,0,0.0,1,100.0,9,33,14,1,1,0,0,0,10,1,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,100.0
9,Filipe Luís,br BRA,3.0,LB,33-086,90,0,0,0,0,2,1,0,0,76,3,1,2,0.1,0.1,0.1,1,0,51,66,77.3,8,38,3,0,0,51,66,77.3,713,282,30,32,93.8,16,22,72.7,3,9,33.3,0,0.1,0.1,1,4,2,1,8,66,55,11,3,0,0,3,8,0,0,0,0,51,0,1,3,2,1,1,1,1,3,33.3,2,2,0,2,1,4,3,0,76,4,21,38,20,2,76,0,0,,0,,38,211,137,3,4,0,0,0,43,4,0,0,0,0,1,0,3,1,2,0,0,0,2,1,0,100.0
