,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Divock Origi,be BEL,14.0,FW,22-165,83,0,0,0,0,1,0,0,0,27,1,0,1,0.4,0.4,0.0,0,0,10,16,62.5,0,21,2,2,1,10,16,62.5,102,4,8,9,88.9,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,0,0,10,0,1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,27,2,2,11,14,4,27,2,1,50.0,1,50.0,21,131,56,2,1,1,3,3,23,10,0,0,0,1,2,0,0,0,1,0,0,0,1,2,3,40.0
1,Victor Osimhen,ng NGA,18.0,FW,18-275,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,2,0,0,0,4,5,80.0,51,0,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,8,1,2,1,5,0,8,0,0,,0,,2,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,50.0
2,Yunus Mallı,tr TUR,10.0,LW,25-218,90,0,0,0,0,4,1,1,0,49,1,1,2,0.3,0.3,0.0,2,0,31,38,81.6,8,25,1,0,0,31,38,81.6,377,160,18,22,81.8,10,12,83.3,1,2,50.0,0,0.0,0.2,0,5,2,0,8,38,34,4,0,0,0,2,0,4,2,0,0,31,0,0,1,1,0,1,0,0,0,,0,2,0,2,1,2,0,0,49,1,4,25,20,3,49,0,0,,0,,25,94,36,1,1,0,3,2,35,8,1,0,0,1,4,0,2,1,1,0,0,0,2,1,5,16.7
3,Jakub Błaszczykowski,pl POL,16.0,RW,31-290,90,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.1,4,0,30,48,62.5,4,31,3,1,1,30,48,62.5,593,163,13,18,72.2,12,21,57.1,4,7,57.1,0,0.1,0.1,2,1,1,1,4,48,48,0,0,0,1,7,0,0,0,0,0,30,0,2,1,1,0,0,1,0,1,0.0,1,1,0,1,2,3,0,0,53,0,5,21,27,3,53,1,1,100.0,0,0.0,31,120,80,3,3,0,0,2,39,10,0,0,0,0,0,0,7,2,1,0,0,0,5,2,1,66.7
4,Daniel Didavi,de GER,11.0,AM,27-221,78,0,1,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.2,1,1,28,40,70.0,3,24,1,0,0,28,40,70.0,396,148,19,22,86.4,4,9,44.4,3,6,50.0,1,0.2,0.1,1,0,1,0,3,40,34,6,3,1,1,3,2,1,1,0,0,28,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,44,1,5,21,19,0,44,0,0,,0,,24,81,35,1,0,1,2,1,29,7,0,0,0,1,4,0,3,0,0,0,0,0,6,1,1,50.0
5,Paul-Georges Ntep,cm CMR,7.0,AM,25-063,11,0,0,0,0,0,0,2,1,5,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,1,1,0,0,3,4,75.0,22,10,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,5,1,2,1,2,0,5,0,0,,0,,1,17,9,1,0,0,0,0,3,0,2,1,1,2,0,0,1,0,0,0,0,0,2,0,0,
6,Ignacio Camacho,es ESP,4.0,DM,27-149,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.4,1,0,36,49,73.5,5,21,1,0,0,36,49,73.5,667,239,18,19,94.7,14,21,66.7,4,5,80.0,0,0.4,0.2,1,3,1,0,5,49,43,6,6,1,1,0,0,0,0,0,0,36,0,4,2,2,0,2,0,0,0,,0,1,1,0,0,2,0,0,53,0,16,34,6,1,53,0,0,,0,,21,69,32,1,1,0,1,4,38,0,0,0,0,0,2,0,0,0,2,0,0,0,6,3,3,50.0
7,Josuha Guilavogui,fr FRA,23.0,DM,27-011,79,1,0,0,0,1,1,1,0,50,2,0,0,0.2,0.2,0.0,1,1,42,45,93.3,6,29,2,0,0,42,45,93.3,752,128,16,17,94.1,23,24,95.8,3,4,75.0,0,0.0,0.0,0,1,1,0,6,45,44,1,1,0,0,1,0,0,0,0,0,42,0,0,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,1,0,50,2,8,32,10,2,50,0,0,,0,,29,112,50,2,2,1,1,2,33,2,1,0,0,1,0,0,1,0,0,0,0,0,6,3,0,100.0
8,Riechedly Bazoer,nl NED,6.0,DM,20-353,11,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,2,3,66.7,37,2,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,2,2,0,0,4,0,0,,0,,3,14,6,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
9,Gian-Luca Itter,de GER,35.0,LB,18-268,90,0,0,0,0,0,0,0,0,61,4,0,4,0.0,0.0,0.0,0,0,38,51,74.5,3,27,3,2,1,38,51,74.5,600,183,19,22,86.4,16,20,80.0,2,8,25.0,0,0.0,0.0,0,3,0,0,3,51,39,12,2,0,0,2,10,0,0,0,0,38,0,0,4,2,1,1,2,3,4,75.0,1,4,0,4,0,4,3,0,61,2,16,35,10,0,61,2,1,50.0,1,50.0,27,156,89,3,2,0,0,1,30,2,0,0,0,0,3,0,2,0,2,0,0,0,2,1,0,100.0
