,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Charles,br BRA,19.0,FW,33-305,74,0,0,0,0,3,0,0,0,16,0,0,0,0.2,0.2,0.0,2,0,10,11,90.9,2,10,0,0,0,10,11,90.9,143,47,4,5,80.0,4,4,100.0,0,0,,0,0.0,0.0,0,2,0,0,2,11,10,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,16,0,1,7,8,4,16,0,0,,0,,10,23,6,0,0,0,1,2,16,1,0,0,0,2,2,0,0,0,0,0,0,0,1,1,2,33.3
1,Gonzalo Escalante,ar ARG,5.0,"AM,FW,DM",24-313,16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,2,0,1,1,6,7,85.7,91,7,3,3,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7,6,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8,1,2,5,1,0,8,1,1,100.0,0,0.0,2,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2,Kike,es ESP,17.0,FW,28-070,90,1,0,0,0,2,2,0,0,26,1,0,0,0.3,0.3,0.0,4,0,13,17,76.5,1,23,3,2,1,13,17,76.5,202,2,7,9,77.8,6,7,85.7,0,0,,0,0.0,0.0,0,1,0,0,1,17,16,1,0,0,0,0,0,0,0,0,0,13,0,1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,26,0,0,7,19,4,26,2,1,50.0,1,50.0,23,92,42,3,1,1,5,1,28,6,0,0,0,3,10,1,0,0,1,0,0,0,2,3,11,21.4
3,Takashi Inui,jp JPN,8.0,"LM,LW",29-246,90,0,0,0,0,3,0,0,0,35,0,0,2,0.1,0.1,0.0,1,0,19,24,79.2,4,17,5,6,3,19,24,79.2,373,87,7,11,63.6,9,9,100.0,2,2,100.0,0,0.0,0.0,0,3,0,0,4,24,23,1,0,0,0,0,1,0,0,0,0,19,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,35,0,4,15,18,7,35,6,3,50.0,3,50.0,17,231,117,5,2,5,0,1,24,7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0.0
4,Papakouli Diop,sn SEN,3.0,CM,31-321,80,0,0,0,0,0,0,0,0,39,2,1,0,0.0,0.0,0.0,0,0,20,31,64.5,6,18,0,1,0,20,31,64.5,358,122,6,9,66.7,14,19,73.7,0,1,0.0,0,0.0,0.0,0,3,0,0,6,31,30,1,1,0,1,0,0,0,0,0,0,20,0,0,2,1,1,0,1,0,0,,0,0,0,0,1,3,2,0,39,2,4,24,11,3,39,1,0,0.0,1,100.0,18,34,14,0,0,0,2,0,20,3,0,0,0,2,1,0,0,1,1,0,0,0,8,2,4,33.3
5,Joan Jordán,es ESP,24.0,"DM,AM",23-212,10,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,3,0,0,0,3,4,75.0,25,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,,0,,3,28,7,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Dani García,es ESP,14.0,"CM,DM",27-255,90,0,0,0,0,1,0,0,0,39,2,3,0,0.0,0.0,0.0,0,0,25,35,71.4,1,16,0,0,0,25,35,71.4,451,104,12,17,70.6,10,12,83.3,3,4,75.0,0,0.0,0.0,0,5,1,0,1,35,33,1,1,0,0,0,0,0,0,0,0,25,1,1,2,1,0,2,0,1,4,25.0,3,0,0,0,3,5,0,0,39,1,2,30,7,0,39,0,0,,0,,16,27,7,0,1,0,0,0,18,3,0,0,0,2,0,0,0,3,1,0,1,0,8,0,0,
7,Fabián Orellana,cl CHI,2.0,"RM,RW",32-007,87,2,0,0,0,3,3,0,0,52,0,1,0,0.7,0.7,0.5,9,0,22,35,62.9,1,33,7,7,3,22,35,62.9,429,108,9,12,75.0,7,13,53.8,5,8,62.5,0,0.5,0.4,4,0,1,0,1,35,29,6,4,0,1,9,1,1,0,1,0,22,0,0,0,0,0,0,0,0,4,0.0,4,0,0,0,1,1,2,0,52,2,9,13,31,8,52,7,3,42.9,4,57.1,33,245,155,7,0,4,2,2,32,11,0,0,0,1,2,0,9,1,0,0,0,0,6,1,1,50.0
8,Ander Capa,es ESP,7.0,"RB,RW",25-360,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,0,,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
9,José Ángel,es ESP,15.0,LB,28-151,90,0,2,0,0,1,0,0,0,64,1,1,0,0.0,0.0,0.6,6,4,31,61,50.8,5,28,1,2,1,31,61,50.8,802,427,7,11,63.6,14,19,73.7,10,27,37.0,2,0.6,0.4,4,4,1,1,5,61,39,22,6,0,1,12,12,4,0,4,0,31,0,5,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,64,2,17,22,26,2,64,2,1,50.0,1,50.0,28,102,42,1,2,1,0,1,27,2,0,0,0,0,1,0,12,1,1,0,0,0,6,0,0,
