,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Karim Onisiwo,at AUT,21.0,FW,27-265,45,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,3,7,42.9,0,4,0,0,0,3,7,42.9,21,3,2,4,50.0,0,1,0.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,12,0,0,9,3,0,12,0,0,,0,,4,11,6,0,0,0,1,0,11,1,0,0,0,0,2,0,0,0,1,0,0,0,2,3,2,60.0
1,Taiwo Awoniyi,ng NGA,22.0,"FW,AM",22-117,45,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,3,7,42.9,0,9,1,0,0,3,7,42.9,24,0,2,5,40.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,6,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,14,0,0,6,8,4,14,0,0,,0,,9,96,9,1,0,1,5,0,12,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0.0
2,Robin Quaison,se SWE,7.0,"FW,LW",26-059,90,0,1,0,0,0,0,1,0,29,1,0,1,0.0,0.0,0.1,3,1,13,21,61.9,1,15,0,2,1,13,21,61.9,151,28,8,8,100.0,3,5,60.0,0,3,0.0,1,0.1,0.0,3,1,0,0,1,21,18,1,0,0,0,0,0,0,0,0,0,13,2,0,1,0,1,0,0,0,0,,0,1,0,1,0,1,2,0,29,1,6,15,8,2,29,2,1,50.0,1,50.0,15,79,26,0,1,0,1,0,20,4,1,0,0,1,3,1,0,0,0,0,0,0,3,1,1,50.0
3,Jean-Paul Boëtius,nl NED,5.0,"AM,RW",25-260,90,0,0,0,0,1,0,0,0,41,3,1,3,0.0,0.0,0.0,3,0,22,31,71.0,5,15,2,1,0,22,31,71.0,353,119,12,14,85.7,8,12,66.7,2,2,100.0,0,0.0,0.0,1,1,1,0,5,31,28,2,1,0,0,0,0,0,0,0,0,22,1,1,3,2,2,1,0,0,1,0.0,1,3,0,3,1,4,0,0,41,1,9,22,10,1,41,1,0,0.0,1,100.0,15,94,50,2,2,1,2,0,23,2,0,0,0,3,1,0,0,1,2,0,0,0,6,1,4,20.0
4,Leandro Barreiro Martins,lu LUX,35.0,CM,19-338,45,0,0,0,0,1,0,0,0,16,1,0,0,0.0,0.0,0.0,2,1,10,10,100.0,2,6,0,0,0,10,10,100.0,160,68,6,6,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,1,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0,16,1,5,7,4,0,16,0,0,,0,,6,17,8,0,1,0,1,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0
5,Daniel Brosinski,de GER,18.0,"RB,LB,CM",31-143,45,0,0,0,0,0,0,0,0,22,2,0,1,0.0,0.0,0.1,1,0,10,16,62.5,2,9,2,1,1,10,16,62.5,323,209,0,0,,5,10,50.0,5,6,83.3,0,0.1,0.2,1,2,1,0,2,16,9,7,3,0,0,2,4,0,0,0,0,10,0,0,2,2,1,1,0,0,0,,0,1,0,1,0,2,3,0,22,2,8,10,6,0,22,1,1,100.0,0,0.0,9,95,56,2,2,0,0,0,5,2,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,
6,Pierre Kunde,cm CMR,14.0,"CM,DM",24-134,90,0,0,0,0,2,0,0,0,61,3,1,1,0.0,0.0,0.0,1,0,33,44,75.0,5,26,1,1,1,33,44,75.0,645,180,17,21,81.0,8,13,61.5,7,8,87.5,0,0.0,0.0,0,3,0,0,5,44,40,4,2,0,0,0,2,0,0,0,0,33,0,0,3,3,2,1,0,2,3,66.7,1,1,1,0,1,4,4,0,61,5,21,36,5,1,61,1,1,100.0,0,0.0,26,128,62,1,0,0,4,0,36,2,0,0,0,2,0,0,0,1,3,0,1,0,6,1,2,33.3
7,Aarón Martín,es ESP,3.0,"WB,LB",22-229,79,0,0,0,0,1,1,0,0,41,1,0,0,0.0,0.0,0.1,3,0,23,32,71.9,0,18,2,1,0,23,32,71.9,336,131,16,19,84.2,4,6,66.7,2,6,33.3,0,0.1,0.1,1,1,1,1,0,32,24,8,4,0,0,5,2,2,0,2,0,23,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,3,0,41,1,10,20,11,0,41,1,0,0.0,1,100.0,18,79,45,2,3,0,0,0,20,3,0,0,0,1,1,0,5,0,0,0,0,0,4,0,0,
8,Ádám Szalai,hu HUN,28.0,"FW,LB",31-363,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,2,1,1,0,1,1,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0
9,Levin Öztunalı,de GER,8.0,"WB,RW,RB",23-267,90,1,0,0,0,2,2,0,0,45,0,0,2,0.0,0.0,0.1,3,0,21,34,61.8,1,21,2,0,0,21,34,61.8,319,121,14,18,77.8,3,7,42.9,3,7,42.9,0,0.1,0.1,2,3,1,1,1,34,30,4,0,0,0,2,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,1,45,1,7,22,18,0,45,0,0,,0,,21,112,61,2,3,0,3,0,23,7,0,0,0,0,1,0,2,0,0,0,0,0,7,0,3,0.0
