,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Sandro Wagner,de GER,2.0,FW,30-143,66,0,0,0,0,2,2,0,0,25,1,0,0,0.6,0.6,0.0,2,0,15,17,88.2,2,16,0,1,0,15,17,88.2,200,20,11,12,91.7,3,4,75.0,1,1,100.0,0,0.0,0.0,1,0,0,0,2,17,16,1,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,25,0,1,7,17,4,25,1,0,0.0,1,100.0,16,30,7,0,0,0,3,0,22,3,0,0,0,4,1,0,0,0,1,0,0,0,1,2,2,50.0
1,Robert Lewandowski,pl POL,9.0,FW,29-243,24,1,0,0,0,1,1,0,0,13,0,0,0,0.1,0.1,0.0,0,0,10,11,90.9,2,8,0,0,0,10,11,90.9,201,49,5,5,100.0,3,4,75.0,2,2,100.0,0,0.0,0.1,0,2,1,0,2,11,11,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,1,5,7,3,13,0,0,,0,,8,40,21,0,0,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,100.0
2,Thiago Alcántara,es ESP,6.0,LW,27-010,90,0,0,0,0,2,1,0,0,117,1,1,2,0.4,0.4,0.0,2,0,94,107,87.9,14,71,2,4,2,94,107,87.9,1801,439,37,40,92.5,44,50,88.0,12,16,75.0,0,0.0,0.1,0,15,0,0,14,107,103,4,0,0,7,2,2,2,1,0,0,94,0,0,1,1,0,1,0,0,0,,0,2,0,2,1,2,1,0,117,0,16,64,37,4,117,4,2,50.0,2,50.0,71,385,161,2,2,0,0,2,103,17,0,0,0,5,0,0,2,1,1,0,0,0,5,0,2,0.0
3,Arjen Robben,nl NED,10.0,RW,34-088,45,0,0,0,0,1,0,0,0,51,1,0,0,0.1,0.1,0.1,2,0,39,47,83.0,2,37,3,0,0,39,47,83.0,722,139,19,20,95.0,15,18,83.3,5,6,83.3,0,0.1,0.1,1,4,0,0,2,47,44,3,1,0,3,1,2,0,0,0,0,39,0,2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,51,0,1,25,25,3,51,0,0,,0,,37,251,97,3,1,1,1,0,44,7,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0.0
4,Thomas Müller,de GER,25.0,RW,28-220,45,1,1,0,0,2,1,0,0,28,1,0,0,0.1,0.1,0.1,3,1,25,25,100.0,3,17,1,1,1,25,25,100.0,390,106,15,15,100.0,8,8,100.0,2,2,100.0,1,0.1,0.3,1,2,2,1,3,25,25,0,0,0,0,1,0,0,0,0,0,25,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,28,0,1,11,16,4,28,1,1,100.0,0,0.0,17,66,38,1,1,1,1,0,24,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
5,James Rodríguez,co COL,11.0,LM,26-283,71,0,0,0,0,3,1,0,0,100,1,0,1,0.1,0.1,0.1,5,1,78,93,83.9,12,75,5,2,0,78,93,83.9,1534,474,30,32,93.8,34,38,89.5,13,19,68.4,0,0.1,0.4,2,10,2,0,12,93,87,6,1,0,2,5,1,4,0,2,0,78,0,4,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,100,0,8,56,36,0,100,2,0,0.0,2,100.0,75,385,266,5,2,0,0,2,90,13,0,0,0,0,2,0,5,0,1,0,0,0,4,0,0,
6,Javi Martínez,es ESP,8.0,LM,29-231,19,0,0,0,0,0,0,0,0,18,0,1,1,0.0,0.0,0.0,0,0,12,15,80.0,1,10,0,1,0,12,15,80.0,189,17,6,6,100.0,6,8,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,18,0,2,12,4,0,18,1,0,0.0,1,100.0,10,32,10,0,0,0,0,0,14,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,100.0
7,Niklas Süle,de GER,4.0,CM,22-230,90,0,0,0,0,2,1,0,0,109,3,2,3,0.1,0.1,0.0,1,0,88,99,88.9,11,61,0,2,1,88,99,88.9,1545,331,35,40,87.5,42,47,89.4,9,9,100.0,0,0.0,0.1,0,8,0,0,11,99,99,0,0,0,0,1,0,0,0,0,0,88,0,0,3,2,0,2,1,2,2,100.0,0,3,1,2,2,5,2,0,109,1,17,68,24,1,109,2,1,50.0,1,50.0,61,266,107,0,3,0,0,1,81,3,0,0,0,2,1,0,1,2,2,0,0,0,5,3,1,75.0
8,Sebastian Rudy,de GER,19.0,RM,28-052,90,1,1,0,0,1,1,0,0,74,0,0,1,0.1,0.1,0.1,4,2,62,69,89.9,9,49,0,0,0,62,69,89.9,1026,327,28,30,93.3,31,33,93.9,3,5,60.0,1,0.1,0.1,2,6,2,0,9,69,65,4,2,0,0,2,1,1,0,1,0,62,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,74,1,5,43,27,2,74,0,0,,0,,49,164,45,0,1,0,1,2,63,7,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,
9,Juan Bernat,es ESP,14.0,LB,25-051,90,0,1,0,0,0,0,0,0,95,0,3,3,0.0,0.0,0.6,5,2,79,85,92.9,9,60,5,6,4,79,85,92.9,1250,339,41,42,97.6,34,36,94.4,4,4,100.0,1,0.6,1.0,2,4,2,2,9,85,78,7,2,0,0,4,5,0,0,0,0,79,0,1,0,0,0,0,0,0,1,0.0,1,3,1,2,3,3,1,0,95,1,17,55,23,4,95,6,4,66.7,2,33.3,60,314,182,5,4,1,2,0,68,7,0,0,0,0,0,0,4,3,0,0,0,0,4,1,2,33.3
